9  -0.912204 -0.320301  0.545657 -0.482866  0.132143 -0.800322 -0.457249 -1.000000  0.215686      1
10 -0.438104 -0.317293  0.603563 -0.333333  0.135714 -0.816425 -0.447955 -1.000000 -0.568627      1
11 -0.577700 -0.311278  0.585746 -0.221184  0.178571 -0.768116 -0.540892 -1.000000 -1.000000      2
12 -0.558385 -0.157895  0.581292 -0.221184  0.135714 -0.874396 -0.563197 -1.000000 -1.000000      1
13 -0.089552 -0.302256  0.625835 -0.638629 -0.103571 -0.938808 -0.178439 -1.000000 -0.333333      1
14 -0.496049 -0.416541  0.282851 -0.115265  0.214286 -0.764895 -0.421933 -1.000000 -1.000000      2
15  0.413521 -0.076692  0.403118 -0.769470 -0.728571 -0.974235  0.154275 -1.000000 -1.000000      2
16 -0.553995  0.025564 -1.000000  0.613707  0.000000 -0.974235 -0.302974 -0.326984 -1.000000      7
17 -0.432836 -0.374436  0.576837 -0.414330  0.225000 -0.813205 -0.449814 -1.000000 -1.000000      1
18 -0.431080 -0.434586  0.599109 -0.364486  0.242857 -0.813205 -0.429368 -1.000000 -1.000000      1
19 -0.302897 -0.049624  0.572383 -0.358255 -0.285714 -0.835749 -0.377323 -0.930159 -1.000000      1
20 -0.565408 -0.190977  0.514477 -0.420561  0.028571 -0.809984 -0.462825 -1.000000 -1.000000      3
21 -0.509219 -0.380451  0.567929 -0.221184  0.267857 -0.787440 -0.540892 -1.000000 -1.000000      2
22 -0.296752  0.028571 -1.000000  0.121495  0.046429 -1.000000  0.013011 -1.000000 -1.000000      6
23 -0.151888 -0.082707  0.015590 -0.289720 -0.221429 -0.842190 -0.178439 -1.000000 -0.333333      2
24 -0.584723 -0.281203  0.518931 -0.196262  0.232143 -0.977456 -0.449814 -1.000000 -0.254902      2
25 -0.172081 -0.362406 -0.282851  0.171340 -0.153571 -0.755233 -0.206320 -0.847619  1.000000      5
26 -0.365233  0.079699  0.452116  0.202492 -0.485714 -0.529791 -0.933086  0.034921 -1.000000      7
27 -0.553995  0.043609 -1.000000  0.557632  0.303571 -0.987118 -0.328996 -0.746032 -0.647059      7
28 -0.338016 -0.260150  0.501114 -0.445483  0.039286 -0.816425 -0.368030 -1.000000 -0.372549      1
29 -0.565408 -0.218045  0.572383 -0.345794  0.021429 -0.819646 -0.460967 -1.000000 -1.000000      3
30 -0.023705  0.034586  0.697105 -0.694704 -0.450000 -1.000000 -0.208178 -1.000000 -1.000000      1
31 -0.454785 -0.383459  0.612472 -0.376947  0.064286 -0.809984 -0.392193 -1.000000 -1.000000      1
32 -0.438104 -0.404511  0.523385 -0.433022  0.210714 -0.809984 -0.403346 -1.000000 -1.000000      1
33  1.000000 -0.527820 -1.000000 -0.557632 -0.875000 -0.961353  1.000000 -1.000000 -0.058824      2
34 -0.335382 -0.338346  0.630290 -0.208723 -0.035714 -0.813205 -0.420074 -1.000000 -0.529412      2
35 -0.387182 -0.187970  0.772829 -0.445483 -0.042857 -0.813205 -0.494424 -1.000000 -1.000000      2
36 -0.090430 -0.909774 -0.238307 -0.208723  0.296429 -0.813205  0.150558 -1.000000 -1.000000      5
37 -0.518876 -0.338346  0.576837 -0.171340  0.125000 -0.793881 -0.516729 -1.000000 -0.176471      2
group 5:
          RI        Na        Mg        Al        Si         K        Ca        Ba        Fe result
0  -0.546971 -0.215038  0.590200 -0.202492  0.092857 -0.803543 -0.542751 -1.000000 -1.000000      2
1  -0.562774 -0.040602  0.567929 -0.401869  0.096429 -0.880837 -0.533457 -1.000000 -0.450980      2
2  -0.572432  0.239098 -1.000000  0.302181  0.239286 -1.000000 -0.381041 -0.593651 -0.647059      7
3  -0.280948 -0.124812  0.576837 -0.713396  0.014286 -0.948470 -0.356877 -0.904762 -0.058824      3
4   0.316067 -0.106767 -1.000000 -0.333333 -0.489286 -0.938808  0.488848 -1.000000 -0.607843      2
5  -0.391572 -0.187970  0.278396 -0.439252  0.082143 -0.822866 -0.330855 -1.000000 -1.000000      1
6  -0.985953 -0.109774  0.425390 -0.052960  0.071429 -0.433172 -1.000000 -0.244444 -1.000000      7
7  -0.243196 -0.073684  0.594655 -0.358255 -0.317857 -0.961353 -0.397770 -0.561905 -1.000000      1
8  -0.417032 -0.124812  0.625835 -0.775701  0.139286 -0.980676 -0.349442 -1.000000 -1.000000      3
9  -0.089552 -0.302256  0.625835 -0.638629 -0.139286 -0.938808 -0.178439 -1.000000 -0.333333      1
10 -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000      1
11 -0.425812 -0.121805  0.630290 -0.489097  0.057143 -0.964573 -0.410781 -1.000000 -1.000000      3
12 -1.000000  1.000000 -1.000000 -0.968847  1.000000 -1.000000 -0.773234 -1.000000 -1.000000      6
13 -0.519754 -0.362406  0.563474 -0.283489  0.142857 -0.780998 -0.479554 -0.961905 -0.019608      2
14 -0.252853  0.215038  0.670379 -1.000000 -0.210714 -0.990338 -0.336431 -1.000000 -1.000000      1
15 -0.185250 -0.203008 -1.000000 -0.308411 -0.128571 -0.893720  0.314126 -1.000000 -1.000000      5
16 -0.432836 -0.049624  0.603563 -0.333333  0.042857 -0.845411 -0.553903 -1.000000 -1.000000      1
17 -0.310799 -0.169925  0.550111 -0.339564 -0.235714 -0.822866 -0.336431 -1.000000 -1.000000      1
18 -0.552239 -0.209023  0.594655 -0.252336  0.039286 -0.855072 -0.483271 -1.000000 -1.000000      2
19 -0.521510 -0.320301  0.416481 -0.414330  0.128571 -0.813205 -0.371747 -1.000000 -0.058824      2
20 -0.444249 -0.359398  0.585746 -0.389408  0.214286 -0.826087 -0.451673 -1.000000 -0.333333      1
21 -0.050922  0.091729  0.714922 -0.626168 -0.446429 -0.951691 -0.308550 -1.000000 -1.000000      1
22 -0.381036 -0.431579  0.229399 -0.663551  0.428571 -0.887279 -0.258364 -1.000000 -0.215686      2
23 -0.437226 -0.272180  0.608018 -0.526480  0.225000 -0.816425 -0.477695 -1.000000 -1.000000      1
24 -0.072871 -0.750376 -0.162584 -0.208723  0.089286 -0.848631  0.111524 -1.000000 -1.000000      5
25 -0.165935  0.091729 -1.000000  0.077882  0.289286 -1.000000 -0.440520  0.041270 -1.000000      7
26 -0.393327 -0.317293  0.692650 -0.507788  0.164286 -0.819646 -0.451673 -1.000000 -0.529412      2
27 -0.317823 -0.178947  0.706013 -0.395639 -0.021429 -0.816425 -0.483271 -1.000000 -0.450980      2
28 -0.569798 -0.347368  0.532294 -0.277259  0.160714 -0.858293 -0.472119 -1.000000 -1.000000      2
29 -0.523266  0.224060 -1.000000  0.059190  0.178571 -1.000000 -0.470260  0.085714 -1.000000      7
30 -0.373134  0.121805 -0.002227 -0.171340 -0.082143 -1.000000 -0.288104 -1.000000 -1.000000      6
31 -0.510097 -0.227068  0.621381 -0.227414 -0.028571 -0.790660 -0.516729 -1.000000  0.137255      2
32 -0.534680 -0.196992  0.554566 -0.233645  0.014286 -0.784219 -0.507435 -1.000000 -0.607843      2
33 -0.362599 -0.311278  0.612472 -0.520249 -0.096429 -0.793881 -0.312268 -1.000000 -0.411765      2
34 -0.612818 -0.055639 -1.000000  0.401869  0.221429 -0.954911 -0.260223 -0.485714 -0.960784      7
35 -0.528534 -0.148872  0.590200 -0.264798 -0.057143 -0.793881 -0.529740 -1.000000 -1.000000      2
36 -0.071993 -0.163910  0.719376 -0.632399 -0.292857 -0.925926 -0.236059 -1.000000 -0.568627      1
37 -0.404741 -0.254135  0.550111 -0.302181  0.010714 -0.809984 -0.442379 -1.000000 -1.000000      1
l_rate: 10; n_epoch: 500, n_hidden: []
epoch: 0, lrate: 10.000, error: 174.10883607
epoch: 100, lrate: 10.000, error: 122.15150190
epoch: 200, lrate: 10.000, error: 113.68629524
epoch: 300, lrate: 10.000, error: 112.82667188
epoch: 400, lrate: 10.000, error: 111.37691064
epoch: 500, lrate: 10.000, error: 113.52675741
the trained network:
there are a total of 0 hidden layers
there are 9 inputs
there are 6 nodes in the output layer
output layer: [{'weights': [26.658164143771405, -4.91409429757903, 31.735202974159105, -23.841749895824393, 1.7575179602938913, 7.234937404304501, 13.821986897025058, 7.325224011967536, -0.36921697618529625, -13.128759842251464], 'output': 4.4888890176420006e-08, 'delta': 4.4888886146395175e-08}, {'weights': [17.721887797490595, 1.6565707275655714, -9.305711023498402, -26.445779939902657, 1.0036379916145028, 5.183084167399049, 14.527823749433107, 6.079211781882255, 4.622059762313186, -6.232288360279059], 'output': 9.673663213827972e-15, 'delta': -9.357975997456763e-29}, {'weights': [-34.79017245815953, 0.6505012839442248, 8.737620129003659, 1.1208197436750904, -1.7680128210531, -2.205980058373662, 29.594201496953783, 3.1251754861562953, -9.027011681731045, -22.923608822454934], 'output': 4.715148067230517e-05, 'delta': -2.2231572994894347e-09}, {'weights': [-2.5076289622175016, 2.226170630858656, -0.7122657985818969, 7.742585998714449, -3.1722011674838297, 5.004788023218502, -2.023698391408137, 0.08990730124628339, 6.872437111659657, -0.9446515783353813], 'output': 1.5429183676468e-06, 'delta': -2.380593416154891e-12}, {'weights': [-3.746649067075844, 31.507287941093544, 13.444273016851767, 18.571586403899612, 18.688978009418864, -14.315915247424844, 35.135067913892605, -34.70626039403697, -7.072376927229048, -42.105320534586696], 'output': 0.00015365837454701435, 'delta': -2.360726805651907e-08}, {'weights': [0.04374868292349238, 17.777066629203183, -6.940595311296304, 16.114090455624943, -7.903261937608229, 7.996114209240075, -9.195889733743423, 12.266711612726898, -10.341418805843183, -3.406425989318743], 'output': 7.227157580151106e-10, 'delta': -5.223180665058685e-19}]
node #0: {'weights': [26.658164143771405, -4.91409429757903, 31.735202974159105, -23.841749895824393, 1.7575179602938913, 7.234937404304501, 13.821986897025058, 7.325224011967536, -0.36921697618529625, -13.128759842251464], 'output': 4.4888890176420006e-08, 'delta': 4.4888886146395175e-08}
node #1: {'weights': [17.721887797490595, 1.6565707275655714, -9.305711023498402, -26.445779939902657, 1.0036379916145028, 5.183084167399049, 14.527823749433107, 6.079211781882255, 4.622059762313186, -6.232288360279059], 'output': 9.673663213827972e-15, 'delta': -9.357975997456763e-29}
node #2: {'weights': [-34.79017245815953, 0.6505012839442248, 8.737620129003659, 1.1208197436750904, -1.7680128210531, -2.205980058373662, 29.594201496953783, 3.1251754861562953, -9.027011681731045, -22.923608822454934], 'output': 4.715148067230517e-05, 'delta': -2.2231572994894347e-09}
node #3: {'weights': [-2.5076289622175016, 2.226170630858656, -0.7122657985818969, 7.742585998714449, -3.1722011674838297, 5.004788023218502, -2.023698391408137, 0.08990730124628339, 6.872437111659657, -0.9446515783353813], 'output': 1.5429183676468e-06, 'delta': -2.380593416154891e-12}
node #4: {'weights': [-3.746649067075844, 31.507287941093544, 13.444273016851767, 18.571586403899612, 18.688978009418864, -14.315915247424844, 35.135067913892605, -34.70626039403697, -7.072376927229048, -42.105320534586696], 'output': 0.00015365837454701435, 'delta': -2.360726805651907e-08}
node #5: {'weights': [0.04374868292349238, 17.777066629203183, -6.940595311296304, 16.114090455624943, -7.903261937608229, 7.996114209240075, -9.195889733743423, 12.266711612726898, -10.341418805843183, -3.406425989318743], 'output': 7.227157580151106e-10, 'delta': -5.223180665058685e-19}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 3.0; actual: 1.0
predicted: 6.0; actual: 1.0
predicted: 5.0; actual: 1.0
predicted: 5.0; actual: 1.0
predicted: 5.0; actual: 1.0
predicted: 6.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 3.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 6.0; actual: 3.0
predicted: 5.0; actual: 3.0
predicted: 2.0; actual: 5.0
predicted: 6.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 10; n_epoch: 300, n_hidden: []
epoch: 0, lrate: 10.000, error: 173.76855085
epoch: 100, lrate: 10.000, error: 117.49540135
epoch: 200, lrate: 10.000, error: 115.13807352
epoch: 300, lrate: 10.000, error: 112.49962603
the trained network:
there are a total of 0 hidden layers
there are 9 inputs
there are 6 nodes in the output layer
output layer: [{'weights': [29.73936506969468, -2.9614022843364367, 31.006865029487322, -26.658675382725068, 4.004071687960669, 6.920499191680495, 12.640258626794386, 8.329288356157706, -0.5119823199219173, -13.20561805810718], 'output': 1.0748689858693563e-08, 'delta': 1.0748689627624897e-08}, {'weights': [1.1092483339653176, -25.95773631282257, -7.560857473976541, 19.238447129182088, -5.815149547484331, 0.05678683451675293, 14.715485186077697, -19.707783472592556, 47.99078972961204, 3.3252338486895536], 'output': 4.2227318929983553e-16, 'delta': -1.7831464640145466e-31}, {'weights': [-24.612873225796083, -0.20605560722665692, 4.1725773589332675, 0.10259835545919985, -2.549740894407878, 0.06783311938987746, 18.03440282632219, -0.8966468039886742, -6.489933673767806, -17.817751806093856], 'output': 0.001999781436517433, 'delta': -3.991128416314909e-06}, {'weights': [-2.5870776718653112, 1.9336845494768287, -0.9658535825181106, 6.956900085385465, -2.7896257278860688, 5.389889315521958, -2.205058428589103, 0.2470563472247177, 6.550016821596, -0.4421761161988409], 'output': 2.9394686859255764e-06, 'delta': -8.640450757127943e-12}, {'weights': [-3.0051015280720117, 30.77104160698663, 11.84062663467363, 15.76893349033504, 17.177462604316403, -13.382334484222552, 30.624975790758437, -29.654815719809065, -6.641502977150664, -37.940132208515294], 'output': 0.00012055666263635101, 'delta': -1.4532156746462182e-08}, {'weights': [1.5517617634855099, 4.68996904618786, -4.227811549537521, 11.364619950930084, -9.010416236159575, 1.1721287298445524, -6.396574854084168, 13.077433197120728, -2.014839711449521, 4.095214687966159], 'output': 2.8634024882038763e-06, 'delta': -8.199050332203801e-12}]
node #0: {'weights': [29.73936506969468, -2.9614022843364367, 31.006865029487322, -26.658675382725068, 4.004071687960669, 6.920499191680495, 12.640258626794386, 8.329288356157706, -0.5119823199219173, -13.20561805810718], 'output': 1.0748689858693563e-08, 'delta': 1.0748689627624897e-08}
node #1: {'weights': [1.1092483339653176, -25.95773631282257, -7.560857473976541, 19.238447129182088, -5.815149547484331, 0.05678683451675293, 14.715485186077697, -19.707783472592556, 47.99078972961204, 3.3252338486895536], 'output': 4.2227318929983553e-16, 'delta': -1.7831464640145466e-31}
node #2: {'weights': [-24.612873225796083, -0.20605560722665692, 4.1725773589332675, 0.10259835545919985, -2.549740894407878, 0.06783311938987746, 18.03440282632219, -0.8966468039886742, -6.489933673767806, -17.817751806093856], 'output': 0.001999781436517433, 'delta': -3.991128416314909e-06}
node #3: {'weights': [-2.5870776718653112, 1.9336845494768287, -0.9658535825181106, 6.956900085385465, -2.7896257278860688, 5.389889315521958, -2.205058428589103, 0.2470563472247177, 6.550016821596, -0.4421761161988409], 'output': 2.9394686859255764e-06, 'delta': -8.640450757127943e-12}
node #4: {'weights': [-3.0051015280720117, 30.77104160698663, 11.84062663467363, 15.76893349033504, 17.177462604316403, -13.382334484222552, 30.624975790758437, -29.654815719809065, -6.641502977150664, -37.940132208515294], 'output': 0.00012055666263635101, 'delta': -1.4532156746462182e-08}
node #5: {'weights': [1.5517617634855099, 4.68996904618786, -4.227811549537521, 11.364619950930084, -9.010416236159575, 1.1721287298445524, -6.396574854084168, 13.077433197120728, -2.014839711449521, 4.095214687966159], 'output': 2.8634024882038763e-06, 'delta': -8.199050332203801e-12}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 3.0; actual: 1.0
predicted: 6.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 3.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 3.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 3.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 3.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 6.0; actual: 5.0
predicted: 6.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.5; n_epoch: 500, n_hidden: []
epoch: 0, lrate: 0.500, error: 230.91206343
epoch: 100, lrate: 0.500, error: 147.24216795
epoch: 200, lrate: 0.500, error: 137.61911283
epoch: 300, lrate: 0.500, error: 132.27781677
epoch: 400, lrate: 0.500, error: 127.83929233
epoch: 500, lrate: 0.500, error: 124.10176690
the trained network:
there are a total of 0 hidden layers
there are 9 inputs
there are 6 nodes in the output layer
output layer: [{'weights': [12.524131875367942, 2.589824845312888, 5.916818712753679, -5.256144110552996, 6.345796931176657, 4.092073959241176, -0.23867894615038882, 1.427933185627704, -4.749866003920468, 0.7873014011783639], 'output': 0.4446055590357596, 'delta': 0.13714435791176444}, {'weights': [0.5544565929282659, -4.483957018048731, 5.632811675945449, 10.741223818462121, -0.8190583199402314, -2.6055714994966106, 0.24655468798316488, -1.7492954815857786, 2.589906618098687, -1.8547172599893391], 'output': 0.5953579044917614, 'delta': -0.14342580933119678}, {'weights': [-9.55557249369312, -0.08749968741173551, 2.763151516198821, -1.9973066923455738, -2.0114137701350274, -0.37030564348683936, 8.783831934920828, 1.3047207951804183, -2.7422982551244743, -6.27914199725935], 'output': 0.08151429675173145, 'delta': -0.006102952262153757}, {'weights': [-5.402668683093558, -9.21009948114181, -4.1298972634485045, 3.0241367526634964, 2.3152736874020388, 9.799195999855916, 5.110716601643053, -5.900238224905383, 1.5484337262612615, -2.346774988120446], 'output': 0.0010832855692770793, 'delta': -1.1722363807287958e-06}, {'weights': [0.10993963826062002, 9.080907477048223, 3.0729465189838034, 4.690716617835425, 4.9447734052987435, -2.630338191858352, 8.123240203793491, -8.328471722546196, -2.1824469404038833, -10.303463908054256], 'output': 0.03629855995215495, 'delta': -0.0012697589999842952}, {'weights': [-0.2879526780758971, -0.8797676935082968, -0.4678956826183187, 7.75767834822515, 9.170255811513307, 0.6295315217181836, -4.18392186611831, 7.887712865960765, -2.4276180606159663, -0.7115770133248848], 'output': 0.000916586931735076, 'delta': -8.393615497788814e-07}]
node #0: {'weights': [12.524131875367942, 2.589824845312888, 5.916818712753679, -5.256144110552996, 6.345796931176657, 4.092073959241176, -0.23867894615038882, 1.427933185627704, -4.749866003920468, 0.7873014011783639], 'output': 0.4446055590357596, 'delta': 0.13714435791176444}
node #1: {'weights': [0.5544565929282659, -4.483957018048731, 5.632811675945449, 10.741223818462121, -0.8190583199402314, -2.6055714994966106, 0.24655468798316488, -1.7492954815857786, 2.589906618098687, -1.8547172599893391], 'output': 0.5953579044917614, 'delta': -0.14342580933119678}
node #2: {'weights': [-9.55557249369312, -0.08749968741173551, 2.763151516198821, -1.9973066923455738, -2.0114137701350274, -0.37030564348683936, 8.783831934920828, 1.3047207951804183, -2.7422982551244743, -6.27914199725935], 'output': 0.08151429675173145, 'delta': -0.006102952262153757}
node #3: {'weights': [-5.402668683093558, -9.21009948114181, -4.1298972634485045, 3.0241367526634964, 2.3152736874020388, 9.799195999855916, 5.110716601643053, -5.900238224905383, 1.5484337262612615, -2.346774988120446], 'output': 0.0010832855692770793, 'delta': -1.1722363807287958e-06}
node #4: {'weights': [0.10993963826062002, 9.080907477048223, 3.0729465189838034, 4.690716617835425, 4.9447734052987435, -2.630338191858352, 8.123240203793491, -8.328471722546196, -2.1824469404038833, -10.303463908054256], 'output': 0.03629855995215495, 'delta': -0.0012697589999842952}
node #5: {'weights': [-0.2879526780758971, -0.8797676935082968, -0.4678956826183187, 7.75767834822515, 9.170255811513307, 0.6295315217181836, -4.18392186611831, 7.887712865960765, -2.4276180606159663, -0.7115770133248848], 'output': 0.000916586931735076, 'delta': -8.393615497788814e-07}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 7.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.5; n_epoch: 300, n_hidden: []
epoch: 0, lrate: 0.500, error: 233.80717880
epoch: 100, lrate: 0.500, error: 146.26717351
epoch: 200, lrate: 0.500, error: 137.61964693
epoch: 300, lrate: 0.500, error: 132.23047378
the trained network:
there are a total of 0 hidden layers
there are 9 inputs
there are 6 nodes in the output layer
output layer: [{'weights': [9.312338733139532, 1.426923777758573, 5.042942622577961, -4.307659599638665, 5.100897538214429, 2.677666485081598, -0.018041003178566557, 1.8369709551961284, -3.2793626398461657, 0.5229167334513325], 'output': 0.371676457848355, 'delta': 0.14673432482809567}, {'weights': [0.5000443387416448, -4.1182887810450985, 5.365829600327845, 10.121105210015031, -0.6603361192989674, -2.3185738188680407, 0.37296294638547883, -1.5922205670098335, 2.487354057494177, -1.4911212603263833], 'output': 0.5932853714860875, 'delta': -0.143158478326793}, {'weights': [-5.889929097330484, 0.2912408110145893, 2.058758540061204, -1.6302407326013795, -0.8185788925013399, 0.13360973879570656, 5.7082211974248755, 1.1529527010912572, -1.4406550001982454, -3.910211457812025], 'output': 0.09004047569352955, 'delta': -0.0073773032613619295}, {'weights': [-3.7160605886865197, -7.386583546512696, -3.043152349067891, 2.9816060782191145, 3.0039266444196855, 7.765431374154194, 4.860695188366595, -4.623567275516415, 1.3962729921637473, -1.5576761612561634], 'output': 0.002645757742593434, 'delta': -6.981513638253218e-06}, {'weights': [0.011941564192557083, 7.207669272319698, 1.7465528783222928, 2.968255097501946, 3.2403776103254534, -0.6327639614116973, 5.578479694928809, -5.674265685763627, -1.7781158981990328, -6.800386706869641], 'output': 0.04579109799794866, 'delta': -0.002000808752556841}, {'weights': [-0.4208619446143997, -0.7020931231955375, -0.49501707065310163, 6.559842016351915, 7.5823670557011, 0.42043777643979696, -3.357631430213955, 6.637587935306568, -2.1437202053748567, -0.8351742460650673], 'output': 0.002451022859306075, 'delta': -5.992788505011029e-06}]
node #0: {'weights': [9.312338733139532, 1.426923777758573, 5.042942622577961, -4.307659599638665, 5.100897538214429, 2.677666485081598, -0.018041003178566557, 1.8369709551961284, -3.2793626398461657, 0.5229167334513325], 'output': 0.371676457848355, 'delta': 0.14673432482809567}
node #1: {'weights': [0.5000443387416448, -4.1182887810450985, 5.365829600327845, 10.121105210015031, -0.6603361192989674, -2.3185738188680407, 0.37296294638547883, -1.5922205670098335, 2.487354057494177, -1.4911212603263833], 'output': 0.5932853714860875, 'delta': -0.143158478326793}
node #2: {'weights': [-5.889929097330484, 0.2912408110145893, 2.058758540061204, -1.6302407326013795, -0.8185788925013399, 0.13360973879570656, 5.7082211974248755, 1.1529527010912572, -1.4406550001982454, -3.910211457812025], 'output': 0.09004047569352955, 'delta': -0.0073773032613619295}
node #3: {'weights': [-3.7160605886865197, -7.386583546512696, -3.043152349067891, 2.9816060782191145, 3.0039266444196855, 7.765431374154194, 4.860695188366595, -4.623567275516415, 1.3962729921637473, -1.5576761612561634], 'output': 0.002645757742593434, 'delta': -6.981513638253218e-06}
node #4: {'weights': [0.011941564192557083, 7.207669272319698, 1.7465528783222928, 2.968255097501946, 3.2403776103254534, -0.6327639614116973, 5.578479694928809, -5.674265685763627, -1.7781158981990328, -6.800386706869641], 'output': 0.04579109799794866, 'delta': -0.002000808752556841}
node #5: {'weights': [-0.4208619446143997, -0.7020931231955375, -0.49501707065310163, 6.559842016351915, 7.5823670557011, 0.42043777643979696, -3.357631430213955, 6.637587935306568, -2.1437202053748567, -0.8351742460650673], 'output': 0.002451022859306075, 'delta': -5.992788505011029e-06}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 7.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.1; n_epoch: 500, n_hidden: []
epoch: 0, lrate: 0.100, error: 276.46329099
epoch: 100, lrate: 0.100, error: 171.15913977
epoch: 200, lrate: 0.100, error: 160.57499889
epoch: 300, lrate: 0.100, error: 154.56420133
epoch: 400, lrate: 0.100, error: 150.09619146
epoch: 500, lrate: 0.100, error: 146.48581822
the trained network:
there are a total of 0 hidden layers
there are 9 inputs
there are 6 nodes in the output layer
output layer: [{'weights': [4.476971597075951, 0.035932285298451036, 4.039854226779978, -4.002048069578445, 3.5991432786557858, 1.173650277162309, 0.9013547640372744, 1.9043253437495518, -1.781078211437793, -0.5702155439749595], 'output': 0.3872785717460677, 'delta': 0.14539504483202245}, {'weights': [0.13019268824857555, -2.3458365473803156, 3.6439923763261035, 6.591336097300005, -0.6074494815666202, -1.1117381658641816, 1.0924614622396014, -1.1727464838939254, 1.8868222293655657, -0.5464600493144733], 'output': 0.43901314994748863, 'delta': -0.10812042378598688}, {'weights': [-2.2150235015725572, 0.8986973048909193, 1.6446685728104264, -1.4907459527631983, 0.2600588287274856, 0.5024744225369043, 2.3227497796799326, 0.836058388547419, -0.45968674539750387, -2.4190345816358163], 'output': 0.09976868296044823, 'delta': -0.008960713570954364}, {'weights': [-0.8987499625635684, -4.302195480118808, -1.646208818727654, 2.555951559923653, 3.407693051836155, 4.299334413625441, 3.5077690267847212, -2.6505343904443093, 1.12700374322615, -0.8704826596082131], 'output': 0.010298489212057492, 'delta': -0.00010496663381881782}, {'weights': [0.09508990358779443, 4.891164891398051, 0.2351132960097894, 0.8027923208987583, 1.1410349929905081, 0.7929084447246101, 2.387237747516715, -2.1007190284301305, -0.7260924503695624, -2.9861025363353293], 'output': 0.03770547017993427, 'delta': -0.0013680965209693556}, {'weights': [-0.18499372143101894, -0.09095772889430909, -0.5916616587629752, 4.750975838204933, 5.253691274712854, 0.2608851793406263, -2.2929599744790976, 4.613403109539264, -1.4238288355140212, -0.5993698158656735], 'output': 0.01002390667407959, 'delta': -9.947151584889814e-05}]
node #0: {'weights': [4.476971597075951, 0.035932285298451036, 4.039854226779978, -4.002048069578445, 3.5991432786557858, 1.173650277162309, 0.9013547640372744, 1.9043253437495518, -1.781078211437793, -0.5702155439749595], 'output': 0.3872785717460677, 'delta': 0.14539504483202245}
node #1: {'weights': [0.13019268824857555, -2.3458365473803156, 3.6439923763261035, 6.591336097300005, -0.6074494815666202, -1.1117381658641816, 1.0924614622396014, -1.1727464838939254, 1.8868222293655657, -0.5464600493144733], 'output': 0.43901314994748863, 'delta': -0.10812042378598688}
node #2: {'weights': [-2.2150235015725572, 0.8986973048909193, 1.6446685728104264, -1.4907459527631983, 0.2600588287274856, 0.5024744225369043, 2.3227497796799326, 0.836058388547419, -0.45968674539750387, -2.4190345816358163], 'output': 0.09976868296044823, 'delta': -0.008960713570954364}
