node #0: {'weights': [0.17367568471968, 1.273931366892252, 6.942652426852415, -5.847927626580712, -2.5974230444139694, -0.46325674306706927, -0.1873473248144277, -2.664724690026811, -5.1295706784561, -12.082724681483516], 'output': 3.937934383414179e-07, 'delta': -1.0229624441882297e-07}
node #1: {'weights': [-3.8009251066934566, -3.42405157280845, -0.6817592535267333, 1.2512607490768715, 5.419875511136407, 4.118473769418323, 0.06635313582550839, -6.426483510472105, 5.009908618753366, -12.767078751613605], 'output': 4.616807162197444e-09, 'delta': -1.4862813142117007e-09}
node #2: {'weights': [-0.08459660092389915, 0.04862318697896253, -0.2252380761943954, -0.6334105079269776, -0.2747770082660798, -0.31602144159215834, 0.5152222589371929, -0.3526222523646254, -0.8096849862220172, -5.2479517320208915], 'output': 0.003672900598581539, 'delta': 0.0001261295834893699}
node #3: {'weights': [-5.38624824436053, -8.027040298125891, 1.2635682462377416, -2.2317377827189024, 5.665239435205946, -3.2502109700193507, -0.15670889562066395, -3.849590408905707, 12.434751418910754, -6.3925753053073935], 'output': 3.563616759423844e-05, 'delta': -3.4669707289352744e-06}
node #4: {'weights': [10.451894837895502, 12.376631063697891, 5.188324839546065, 10.498080557567658, -14.421223818417408, -10.67049559801313, 6.9758863677412215, 2.8178665931852485, 13.837343151962218, -9.202890809509906], 'output': 0.0017034390521368623, 'delta': -0.0005774262126237841}
node #5: {'weights': [3.1393443889481105, 3.077129470942915, -1.2050853091879907, 13.243810662722888, 5.259326989266314, -0.38079009179328366, 1.8227524684436294, 11.525936142156194, 4.983045607587632, 3.2421719701096046], 'output': 0.9999996142587892, 'delta': -1.1021756457775167e-07}
node #6: {'weights': [14.97957439268236, 3.8107367344384473, 3.9911380207350295, -1.981078475795376, -4.794401740050395, -0.8969994357219356, 3.760536098257465, -1.1197285824048386, -23.85193916457551, -12.503844966731513], 'output': 1.2117202642226037e-06, 'delta': -3.576248422746342e-07}
node #7: {'weights': [-0.6505529158898236, 3.153352792132643, 5.161749931389551, -8.460906528768136, -2.694663838484545, 0.08327738701317261, 9.65729952243433, -1.0963865806798563, -7.940397277840976, -8.127001545836816], 'output': 9.871300585561539e-05, 'delta': -7.759809404390081e-06}
node #8: {'weights': [8.18917939964809, 14.64960728659668, 0.2864658477168361, -6.34173605692586, 1.7963951482174176, 2.961820406593921, 5.01932527638546, 2.2304241846260338, -2.640081719129924, -9.108898292287021], 'output': 0.001029925961618272, 'delta': -5.898348867761407e-05}
output layer: [{'weights': [-3.7172047209775934, -6.139214690921632, 0.09011904807370921, -2.3874447900460782, -7.288149278828686, -3.9691897059703756, -5.488300155436891, -1.282017517472767, -1.2320320411370875, 2.932850231279171], 'output': 0.0813928405126365, 'delta': 0.06868246238029177}, {'weights': [8.285538198497324, -3.2843753102800983, -0.2716691960344058, -4.41108576980348, -13.086112527959585, -1.8548964608953487, -2.6018317021091426, 5.704332105594817, 3.7397140000618245, -0.7765906559444251], 'output': 0.0721666919803565, 'delta': -0.004832185031254683}, {'weights': [-0.9706218218475843, -2.3082171052057645, -0.7442531846731536, -1.1250654703933556, -2.8573602971584586, -1.1510596618049798, -1.946797278377332, -1.0750412958306834, -1.106607523517715, -0.8610149818513083], 'output': 0.21354599230228802, 'delta': -0.03586378980056422}, {'weights': [-7.881220255910634, -0.09001396367881656, -0.7083921770390239, -8.2408000264457, 4.4873725849475425, 0.6263222380784385, 12.78474716700591, -6.952231337957304, 2.914440505682907, -11.155779273098256], 'output': 2.6926275120742414e-05, 'delta': -7.250047696743595e-10}, {'weights': [-1.037524344038002, -1.4640437542976752, -0.6728790839625454, -6.833941949117964, 6.252505663606201, 4.200050609691923, 0.7899344873351584, 2.1094653210223377, -7.805888272779757, -7.780956052461564], 'output': 0.02748875464607191, 'delta': -0.0007348602594573026}, {'weights': [-6.522522519886732, 7.723305466911586, -1.7976571240602075, 10.22196597902702, 7.088218154664015, -0.45637763193545405, -8.739715122979154, -5.257875121639129, -9.062021088899932, -10.394523688176433], 'output': 1.930879634689886e-05, 'delta': -3.7282241747488026e-10}]
node #0: {'weights': [-3.7172047209775934, -6.139214690921632, 0.09011904807370921, -2.3874447900460782, -7.288149278828686, -3.9691897059703756, -5.488300155436891, -1.282017517472767, -1.2320320411370875, 2.932850231279171], 'output': 0.0813928405126365, 'delta': 0.06868246238029177}
node #1: {'weights': [8.285538198497324, -3.2843753102800983, -0.2716691960344058, -4.41108576980348, -13.086112527959585, -1.8548964608953487, -2.6018317021091426, 5.704332105594817, 3.7397140000618245, -0.7765906559444251], 'output': 0.0721666919803565, 'delta': -0.004832185031254683}
node #2: {'weights': [-0.9706218218475843, -2.3082171052057645, -0.7442531846731536, -1.1250654703933556, -2.8573602971584586, -1.1510596618049798, -1.946797278377332, -1.0750412958306834, -1.106607523517715, -0.8610149818513083], 'output': 0.21354599230228802, 'delta': -0.03586378980056422}
node #3: {'weights': [-7.881220255910634, -0.09001396367881656, -0.7083921770390239, -8.2408000264457, 4.4873725849475425, 0.6263222380784385, 12.78474716700591, -6.952231337957304, 2.914440505682907, -11.155779273098256], 'output': 2.6926275120742414e-05, 'delta': -7.250047696743595e-10}
node #4: {'weights': [-1.037524344038002, -1.4640437542976752, -0.6728790839625454, -6.833941949117964, 6.252505663606201, 4.200050609691923, 0.7899344873351584, 2.1094653210223377, -7.805888272779757, -7.780956052461564], 'output': 0.02748875464607191, 'delta': -0.0007348602594573026}
node #5: {'weights': [-6.522522519886732, 7.723305466911586, -1.7976571240602075, 10.22196597902702, 7.088218154664015, -0.45637763193545405, -8.739715122979154, -5.257875121639129, -9.062021088899932, -10.394523688176433], 'output': 1.930879634689886e-05, 'delta': -3.7282241747488026e-10}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 6.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 3.0
predicted: 1.0; actual: 3.0
predicted: 6.0; actual: 5.0
predicted: 6.0; actual: 6.0
predicted: 5.0; actual: 7.0
predicted: 5.0; actual: 7.0
predicted: 1.0; actual: 7.0
l_rate: 0.5; n_epoch: 500, n_hidden: [5, 5]
epoch: 0, lrate: 0.500, error: 300.13059038
epoch: 100, lrate: 0.500, error: 152.65494808
epoch: 200, lrate: 0.500, error: 111.03055777
epoch: 300, lrate: 0.500, error: 102.09231423
epoch: 400, lrate: 0.500, error: 100.44867721
epoch: 500, lrate: 0.500, error: 92.02567910
the trained network:
there are a total of 2 hidden layers
there are 9 inputs
there are 5 nodes in the 1st hidden layer
there are 5 nodes in the 2nd hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [-1.3984215067992467, -8.706251689681126, 3.9420429021398244, 0.5590605695788688, -5.139438559429261, 2.1199740741761546, 3.6067269467085605, -6.012897036612507, 4.538876008709611, 2.3301029568531537], 'output': 0.9997226831394801, 'delta': -4.5464030976058954e-05}, {'weights': [9.4852701537136, -0.07342570598435959, 5.974719089148242, -9.107145729742724, -7.120352768380463, 1.5016180355552522, 3.6849454548729357, -1.2033592208911095, 3.0041148178931274, 1.1733484977267363], 'output': 0.5329346729161258, 'delta': -0.17005716627052067}, {'weights': [7.318373686176648, -4.191646193193695, -7.31819564985444, 7.539170888621815, -4.252679409691875, 2.0519705017426224, 1.5313087258304254, -1.8555115389848542, -2.4322073187293944, 2.1201336394425545], 'output': 0.0005654916311946222, 'delta': -0.0007994816987266787}, {'weights': [-5.897210267838437, 2.0901620594383834, 10.063873288580565, 20.377732341868402, -4.768949651258137, 5.946332422282867, -13.232847628953282, -2.6209559277436543, -0.9782102035470072, -5.654205194537247], 'output': 0.063266383004297, 'delta': -0.0730042276769893}, {'weights': [-12.880355562825995, -2.712341414960817, 1.848636619531547, 6.625113022440127, -1.6060060202236333, 7.005575744304624, -15.530812284642266, 3.4672614075828525, 5.501864059107096, 4.1542843969031225], 'output': 0.9929685702372582, 'delta': -0.007189743071421715}]
node #0: {'weights': [-1.3984215067992467, -8.706251689681126, 3.9420429021398244, 0.5590605695788688, -5.139438559429261, 2.1199740741761546, 3.6067269467085605, -6.012897036612507, 4.538876008709611, 2.3301029568531537], 'output': 0.9997226831394801, 'delta': -4.5464030976058954e-05}
node #1: {'weights': [9.4852701537136, -0.07342570598435959, 5.974719089148242, -9.107145729742724, -7.120352768380463, 1.5016180355552522, 3.6849454548729357, -1.2033592208911095, 3.0041148178931274, 1.1733484977267363], 'output': 0.5329346729161258, 'delta': -0.17005716627052067}
node #2: {'weights': [7.318373686176648, -4.191646193193695, -7.31819564985444, 7.539170888621815, -4.252679409691875, 2.0519705017426224, 1.5313087258304254, -1.8555115389848542, -2.4322073187293944, 2.1201336394425545], 'output': 0.0005654916311946222, 'delta': -0.0007994816987266787}
node #3: {'weights': [-5.897210267838437, 2.0901620594383834, 10.063873288580565, 20.377732341868402, -4.768949651258137, 5.946332422282867, -13.232847628953282, -2.6209559277436543, -0.9782102035470072, -5.654205194537247], 'output': 0.063266383004297, 'delta': -0.0730042276769893}
node #4: {'weights': [-12.880355562825995, -2.712341414960817, 1.848636619531547, 6.625113022440127, -1.6060060202236333, 7.005575744304624, -15.530812284642266, 3.4672614075828525, 5.501864059107096, 4.1542843969031225], 'output': 0.9929685702372582, 'delta': -0.007189743071421715}
layer 1: [{'weights': [-5.342142792861693, -6.6414998138596895, 10.309281076219087, 0.29281123683158206, 2.8149416052314837, -3.4249373780744965], 'output': 7.592930874639105e-05, 'delta': 3.121586459049937e-05}, {'weights': [7.930362731889241, 1.4050438487931898, -7.22088758422687, 2.666481560964522, 3.1388611800382367, -7.285821369211944], 'output': 0.9906212564702855, 'delta': 0.007733749276283353}, {'weights': [-5.8142011503422175, 2.9686848385568956, 2.002924581349813, 1.447994384167076, 4.512208296969554, -3.165608138002458], 'output': 0.057431968828102815, 'delta': -0.015183838738494286}, {'weights': [-9.330684681234102, 1.5580602459687463, 2.383133373269797, -0.9590685873210942, 4.695209896801632, -0.8426639685995886], 'output': 0.008627504072323126, 'delta': 0.004023289990140452}, {'weights': [2.2194452512923224, 5.3831732968115125, 11.064838020243105, 10.13826653304489, 8.244131021833592, -11.94320530527466], 'output': 0.8980999307372044, 'delta': -0.12094443712393495}]
node #0: {'weights': [-5.342142792861693, -6.6414998138596895, 10.309281076219087, 0.29281123683158206, 2.8149416052314837, -3.4249373780744965], 'output': 7.592930874639105e-05, 'delta': 3.121586459049937e-05}
node #1: {'weights': [7.930362731889241, 1.4050438487931898, -7.22088758422687, 2.666481560964522, 3.1388611800382367, -7.285821369211944], 'output': 0.9906212564702855, 'delta': 0.007733749276283353}
node #2: {'weights': [-5.8142011503422175, 2.9686848385568956, 2.002924581349813, 1.447994384167076, 4.512208296969554, -3.165608138002458], 'output': 0.057431968828102815, 'delta': -0.015183838738494286}
node #3: {'weights': [-9.330684681234102, 1.5580602459687463, 2.383133373269797, -0.9590685873210942, 4.695209896801632, -0.8426639685995886], 'output': 0.008627504072323126, 'delta': 0.004023289990140452}
node #4: {'weights': [2.2194452512923224, 5.3831732968115125, 11.064838020243105, 10.13826653304489, 8.244131021833592, -11.94320530527466], 'output': 0.8980999307372044, 'delta': -0.12094443712393495}
output layer: [{'weights': [-4.585284863595038, 4.888443020439774, -2.653180506974801, -0.8100792683912229, -3.8542291315950807, -2.6634931432664133], 'output': 0.16741471190803092, 'delta': 0.11605158731903609}, {'weights': [-6.717912806577319, -2.1901313583777333, -0.1347170092459962, -4.026784619630132, 6.307731546433192, -2.4526805516792773], 'output': 0.7669270158412801, 'delta': -0.1370881797041396}, {'weights': [-2.4772889564314498, 2.1179031641703583, -1.0919756699698042, -1.3799430790629834, -0.5509766554924157, -3.7359835668770325], 'output': 0.10020266860265309, 'delta': -0.009034482406320252}, {'weights': [8.541850110845857, -2.1589835328331555, -2.2178142786933943, -8.936344243251176, 1.608136618275468, -5.14312262235072], 'output': 0.002372571289479287, 'delta': -5.615739095608802e-06}, {'weights': [-1.249331973587524, -9.269248266172324, -1.3461232218137205, 2.222232398050986, -8.403207928435469, 3.70493558408575], 'output': 2.0812656402559867e-06, 'delta': -4.331657649961166e-12}, {'weights': [-0.46995004402913426, -5.82025030246688, 6.421477242542111, 5.547320832364715, 2.242036403521991, -6.902833934749676], 'output': 3.5772228572147973e-05, 'delta': -1.2796065610021073e-09}]
node #0: {'weights': [-4.585284863595038, 4.888443020439774, -2.653180506974801, -0.8100792683912229, -3.8542291315950807, -2.6634931432664133], 'output': 0.16741471190803092, 'delta': 0.11605158731903609}
node #1: {'weights': [-6.717912806577319, -2.1901313583777333, -0.1347170092459962, -4.026784619630132, 6.307731546433192, -2.4526805516792773], 'output': 0.7669270158412801, 'delta': -0.1370881797041396}
node #2: {'weights': [-2.4772889564314498, 2.1179031641703583, -1.0919756699698042, -1.3799430790629834, -0.5509766554924157, -3.7359835668770325], 'output': 0.10020266860265309, 'delta': -0.009034482406320252}
node #3: {'weights': [8.541850110845857, -2.1589835328331555, -2.2178142786933943, -8.936344243251176, 1.608136618275468, -5.14312262235072], 'output': 0.002372571289479287, 'delta': -5.615739095608802e-06}
node #4: {'weights': [-1.249331973587524, -9.269248266172324, -1.3461232218137205, 2.222232398050986, -8.403207928435469, 3.70493558408575], 'output': 2.0812656402559867e-06, 'delta': -4.331657649961166e-12}
node #5: {'weights': [-0.46995004402913426, -5.82025030246688, 6.421477242542111, 5.547320832364715, 2.242036403521991, -6.902833934749676], 'output': 3.5772228572147973e-05, 'delta': -1.2796065610021073e-09}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 5.0; actual: 5.0
predicted: 6.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.5; n_epoch: 500, n_hidden: [5, 9]
epoch: 0, lrate: 0.500, error: 351.85502647
epoch: 100, lrate: 0.500, error: 156.67235064
epoch: 200, lrate: 0.500, error: 113.59806342
epoch: 300, lrate: 0.500, error: 91.26001631
epoch: 400, lrate: 0.500, error: 86.07099998
epoch: 500, lrate: 0.500, error: 80.46140790
the trained network:
there are a total of 2 hidden layers
there are 9 inputs
there are 5 nodes in the 1st hidden layer
there are 9 nodes in the 2nd hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [7.8418942063571615, 4.694747019072762, 0.6575432507484007, -3.036333792265986, -6.950563583372505, -1.8558811989974322, 1.502708524263794, 3.8558157291892825, 0.975348152265346, 2.298577767105279], 'output': 0.002191819378424808, 'delta': -3.094844143007949e-05}, {'weights': [-5.87834818923822, -12.290481974396453, 2.2090372807971907, 3.8043387987683563, -9.048917974465066, 3.823658847211829, 6.361733486869099, -6.4319737849647, 5.894546198385682, 2.2598100019955174], 'output': 0.996310314687012, 'delta': -0.0008309948438435214}, {'weights': [-2.8328588952513596, -1.7643328050304643, 0.3745713314944251, 6.921185680739871, 4.677344039041081, 5.795597448011776, -8.147493323000786, 5.847916982879842, -6.381394101429507, 0.058733652151917316], 'output': 0.012742644726048413, 'delta': -0.00032140078096414633}, {'weights': [-5.106415761883254, 3.607560414331786, 5.673040989473999, -6.496661285591286, 6.212016688209431, -0.09047450352825435, -1.2238559755517573, 2.0495272385004566, 1.6049207958253047, -0.22414230053499645], 'output': 0.9974646756567119, 'delta': -4.414285672222078e-05}, {'weights': [-10.893510449563221, 1.5536772207562792, 13.436970661365944, 12.252009177584528, -5.747370286242505, 1.8743832276173116, -13.242052274869948, 2.2975764293984837, 8.229966116093673, -1.8674117119131843], 'output': 0.9751504118760413, 'delta': 0.0019143500063029029}]
node #0: {'weights': [7.8418942063571615, 4.694747019072762, 0.6575432507484007, -3.036333792265986, -6.950563583372505, -1.8558811989974322, 1.502708524263794, 3.8558157291892825, 0.975348152265346, 2.298577767105279], 'output': 0.002191819378424808, 'delta': -3.094844143007949e-05}
node #1: {'weights': [-5.87834818923822, -12.290481974396453, 2.2090372807971907, 3.8043387987683563, -9.048917974465066, 3.823658847211829, 6.361733486869099, -6.4319737849647, 5.894546198385682, 2.2598100019955174], 'output': 0.996310314687012, 'delta': -0.0008309948438435214}
node #2: {'weights': [-2.8328588952513596, -1.7643328050304643, 0.3745713314944251, 6.921185680739871, 4.677344039041081, 5.795597448011776, -8.147493323000786, 5.847916982879842, -6.381394101429507, 0.058733652151917316], 'output': 0.012742644726048413, 'delta': -0.00032140078096414633}
node #3: {'weights': [-5.106415761883254, 3.607560414331786, 5.673040989473999, -6.496661285591286, 6.212016688209431, -0.09047450352825435, -1.2238559755517573, 2.0495272385004566, 1.6049207958253047, -0.22414230053499645], 'output': 0.9974646756567119, 'delta': -4.414285672222078e-05}
node #4: {'weights': [-10.893510449563221, 1.5536772207562792, 13.436970661365944, 12.252009177584528, -5.747370286242505, 1.8743832276173116, -13.242052274869948, 2.2975764293984837, 8.229966116093673, -1.8674117119131843], 'output': 0.9751504118760413, 'delta': 0.0019143500063029029}
layer 1: [{'weights': [2.086740083518417, -9.608317909738723, 3.9123327419247205, 0.4061777798090461, 6.106029112950929, -1.5119613012216928], 'output': 0.009093595430111253, 'delta': 0.010203579015754895}, {'weights': [3.207479135239061, -4.2110371565378975, -0.03722387752210905, 0.011205400830720903, 0.8913855744775897, 0.698228926123031], 'output': 0.06751935599018691, 'delta': 0.0076834032990535815}, {'weights': [0.027433703632759217, 2.4469498830713166, 4.135171871811256, -5.644248691088464, 1.526805399763984, -2.113147719824029], 'output': 0.022988715043188803, 'delta': -0.007135518254687853}, {'weights': [0.8851439863761938, 4.546412675397354, 8.56818093535677, -8.227757656960588, 1.0260827169135451, -2.804629026307186], 'output': 0.004673057571852332, 'delta': -0.0045318893441266515}, {'weights': [-0.08973303204655798, 2.5818659541788627, -6.208236725686141, 5.036401280440681, 2.3188486839608196, -4.233821464810777], 'output': 0.99609323865948, 'delta': 0.001492217126052313}, {'weights': [9.864106892399185, 6.451373757363394, 2.1053256283869892, 6.681415890447981, 0.8005234924456869, -9.848238766534559], 'output': 0.9835004886737913, 'delta': -0.007566548673850036}, {'weights': [0.9651970874234646, -0.5851755943681455, 1.9475047443631701, -4.4407725014563475, 2.927551020108488, -0.7689145623920368], 'output': 0.05068312150702069, 'delta': 0.01545676711700133}, {'weights': [2.353849202056025, -0.8450834417455024, -1.978860715854972, 8.832172539324347, -11.689414497220689, -3.2758904190058504], 'output': 0.0011931041580905489, 'delta': 0.001489490842310296}, {'weights': [1.6952405827345518, -7.503282079799055, 4.353086486517304, -1.6591762037263686, 1.4967293002681676, 0.25557784941044565], 'output': 0.0006378245477597216, 'delta': 0.00027514091525835484}]
node #0: {'weights': [2.086740083518417, -9.608317909738723, 3.9123327419247205, 0.4061777798090461, 6.106029112950929, -1.5119613012216928], 'output': 0.009093595430111253, 'delta': 0.010203579015754895}
node #1: {'weights': [3.207479135239061, -4.2110371565378975, -0.03722387752210905, 0.011205400830720903, 0.8913855744775897, 0.698228926123031], 'output': 0.06751935599018691, 'delta': 0.0076834032990535815}
node #2: {'weights': [0.027433703632759217, 2.4469498830713166, 4.135171871811256, -5.644248691088464, 1.526805399763984, -2.113147719824029], 'output': 0.022988715043188803, 'delta': -0.007135518254687853}
node #3: {'weights': [0.8851439863761938, 4.546412675397354, 8.56818093535677, -8.227757656960588, 1.0260827169135451, -2.804629026307186], 'output': 0.004673057571852332, 'delta': -0.0045318893441266515}
node #4: {'weights': [-0.08973303204655798, 2.5818659541788627, -6.208236725686141, 5.036401280440681, 2.3188486839608196, -4.233821464810777], 'output': 0.99609323865948, 'delta': 0.001492217126052313}
node #5: {'weights': [9.864106892399185, 6.451373757363394, 2.1053256283869892, 6.681415890447981, 0.8005234924456869, -9.848238766534559], 'output': 0.9835004886737913, 'delta': -0.007566548673850036}
node #6: {'weights': [0.9651970874234646, -0.5851755943681455, 1.9475047443631701, -4.4407725014563475, 2.927551020108488, -0.7689145623920368], 'output': 0.05068312150702069, 'delta': 0.01545676711700133}
node #7: {'weights': [2.353849202056025, -0.8450834417455024, -1.978860715854972, 8.832172539324347, -11.689414497220689, -3.2758904190058504], 'output': 0.0011931041580905489, 'delta': 0.001489490842310296}
node #8: {'weights': [1.6952405827345518, -7.503282079799055, 4.353086486517304, -1.6591762037263686, 1.4967293002681676, 0.25557784941044565], 'output': 0.0006378245477597216, 'delta': 0.00027514091525835484}
output layer: [{'weights': [5.886599593385202, -1.4221517314498533, -3.6514774042266054, -5.08292150527701, -1.339889861016615, 7.059404985407339, -1.4192476393355293, 2.944602775999083, -2.040358997364866, -6.747457922651983], 'output': 0.1769793727068511, 'delta': 0.11987927050795276}, {'weights': [-3.0464887516387034, -2.4492233869476876, -0.6950081228110605, 2.8203751737515628, -4.522019220387169, 9.936649339919233, -3.614058286352708, -6.738175406431611, -4.835180256389866, -3.780031220855908], 'output': 0.7849472766266057, 'delta': -0.1325030639196604}, {'weights': [-1.2870604620512933, 1.7185643791334013, -1.5741520142325447, -0.4878181838204777, 2.1698367661230766, -1.107998386441897, -0.7410652287591466, -0.2279552312191641, -1.9776507807743655, -2.8989493893795215], 'output': 0.1450651342193118, 'delta': -0.01799115797943459}, {'weights': [-5.099061854560031, -3.2909992072565566, 3.5754633215019367, 3.7025590865892846, -2.4283727041261844, -8.322826615506123, 1.8069219747809275, -4.545695495237537, -5.06661216938853, -0.8638061912426804], 'output': 9.594145535910617e-06, 'delta': -9.204674544588894e-11}, {'weights': [-0.842832476412727, 2.2363246467239017, -3.9076598880353663, -5.526209419786544, -4.723732082927997, -9.433898694551564, -1.7353389667907189, 0.4617180018297992, -0.5830606329409314, 3.1380600093642115], 'output': 1.8355544590972313e-05, 'delta': -3.3691983277063984e-10}, {'weights': [5.597221456593067, 0.42364966036625773, -0.2876426016570642, -0.8928463907411476, -2.564470944601281, -2.054896203861385, 1.2533227166864072, -3.340514213459005, 6.417661798527593, -4.574923030906321], 'output': 0.00012119143373889865, 'delta': -1.4685583629035917e-08}]
node #0: {'weights': [5.886599593385202, -1.4221517314498533, -3.6514774042266054, -5.08292150527701, -1.339889861016615, 7.059404985407339, -1.4192476393355293, 2.944602775999083, -2.040358997364866, -6.747457922651983], 'output': 0.1769793727068511, 'delta': 0.11987927050795276}
node #1: {'weights': [-3.0464887516387034, -2.4492233869476876, -0.6950081228110605, 2.8203751737515628, -4.522019220387169, 9.936649339919233, -3.614058286352708, -6.738175406431611, -4.835180256389866, -3.780031220855908], 'output': 0.7849472766266057, 'delta': -0.1325030639196604}
node #2: {'weights': [-1.2870604620512933, 1.7185643791334013, -1.5741520142325447, -0.4878181838204777, 2.1698367661230766, -1.107998386441897, -0.7410652287591466, -0.2279552312191641, -1.9776507807743655, -2.8989493893795215], 'output': 0.1450651342193118, 'delta': -0.01799115797943459}
node #3: {'weights': [-5.099061854560031, -3.2909992072565566, 3.5754633215019367, 3.7025590865892846, -2.4283727041261844, -8.322826615506123, 1.8069219747809275, -4.545695495237537, -5.06661216938853, -0.8638061912426804], 'output': 9.594145535910617e-06, 'delta': -9.204674544588894e-11}
node #4: {'weights': [-0.842832476412727, 2.2363246467239017, -3.9076598880353663, -5.526209419786544, -4.723732082927997, -9.433898694551564, -1.7353389667907189, 0.4617180018297992, -0.5830606329409314, 3.1380600093642115], 'output': 1.8355544590972313e-05, 'delta': -3.3691983277063984e-10}
node #5: {'weights': [5.597221456593067, 0.42364966036625773, -0.2876426016570642, -0.8928463907411476, -2.564470944601281, -2.054896203861385, 1.2533227166864072, -3.340514213459005, 6.417661798527593, -4.574923030906321], 'output': 0.00012119143373889865, 'delta': -1.4685583629035917e-08}
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 3.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 5.0
predicted: 7.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.5; n_epoch: 500, n_hidden: [9, 5]
epoch: 0, lrate: 0.500, error: 280.07891436
epoch: 100, lrate: 0.500, error: 137.08389585
epoch: 200, lrate: 0.500, error: 107.10185791
epoch: 300, lrate: 0.500, error: 87.14318024
epoch: 400, lrate: 0.500, error: 79.72330113
epoch: 500, lrate: 0.500, error: 79.81882886
the trained network:
there are a total of 2 hidden layers
there are 9 inputs
there are 9 nodes in the 1st hidden layer
there are 5 nodes in the 2nd hidden layer
there are 6 nodes in the output layer
