options: {'left_index': True, 'order_results': True, 'normalize_cols': {2: 'RI', 3: 'Na', 4: 'Mg', 5: 'Al', 6: 'Si', 7: 'K', 8: 'Ca', 9: 'Ba', 10: 'Fe'}, 'result_col': 11}
           RI        Na        Mg        Al        Si         K        Ca        Ba        Fe  result
0   -0.134328 -0.124812  1.000000 -0.495327 -0.296429 -0.980676 -0.382900 -1.000000 -1.000000       1
50   0.057946 -0.100752  0.657016 -0.862928 -0.307143 -0.971014 -0.139405 -1.000000 -0.372549       1
49  -0.312555 -0.142857  0.492205 -0.414330 -0.189286 -0.809984 -0.353160 -1.000000 -1.000000       1
48  -0.027217 -0.254135  0.679287 -0.688474 -0.221429 -0.958132 -0.146840 -1.000000 -1.000000       1
47   0.362599 -0.019549  0.648107 -0.738318 -0.371429 -0.993559 -0.184015 -1.000000 -0.607843       1
46  -0.338016 -0.260150  0.501114 -0.445483  0.039286 -0.816425 -0.368030 -1.000000 -0.372549       1
45  -0.310799 -0.169925  0.550111 -0.339564 -0.235714 -0.822866 -0.336431 -1.000000 -1.000000       1
51  -0.287972 -0.257143  0.483296 -0.383178 -0.089286 -0.806763 -0.310409 -1.000000 -0.568627       1
44  -0.410887 -0.398496  0.527840 -0.439252  0.121429 -0.800322 -0.381041 -1.000000  0.176471       1
42  -0.417032 -0.254135  0.510022 -0.352025  0.053571 -0.809984 -0.412639 -1.000000 -1.000000       1
41  -0.438104 -0.404511  0.523385 -0.433022  0.210714 -0.809984 -0.403346 -1.000000 -1.000000       1
40  -0.404741 -0.380451  0.559020 -0.482866  0.150000 -0.793881 -0.379182 -1.000000 -1.000000       1
39  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
38  -0.035996  0.046617  0.701559 -0.887850 -0.300000 -0.964573 -0.230483 -1.000000 -1.000000       1
37  -0.401229 -0.395489  0.550111 -0.339564  0.125000 -0.793881 -0.395911 -1.000000 -1.000000       1
43  -0.038630 -0.097744  0.710468 -0.732087 -0.303571 -0.945250 -0.198885 -1.000000 -1.000000       1
36  -0.302897 -0.049624  0.572383 -0.358255 -0.285714 -0.835749 -0.377323 -0.930159 -1.000000       1
52  -0.391572 -0.187970  0.278396 -0.439252  0.082143 -0.822866 -0.330855 -1.000000 -1.000000       1
55  -0.425812 -0.482707  0.207127 -0.376947  0.389286 -0.819646 -0.325279 -1.000000 -0.058824       1
69   0.040386 -0.224060  0.594655 -0.669782 -0.221429 -0.961353 -0.118959 -1.000000 -0.882353       1
68  -0.089552 -0.281203  0.594655 -0.619938 -0.146429 -0.925926 -0.184015 -1.000000 -0.372549       1
67  -0.089552 -0.302256  0.625835 -0.638629 -0.103571 -0.938808 -0.178439 -1.000000 -0.333333       1
66  -0.089552 -0.302256  0.625835 -0.638629 -0.139286 -0.938808 -0.178439 -1.000000 -0.333333       1
65  -0.136084 -0.109774  0.599109 -0.482866 -0.232143 -0.971014 -0.262082 -1.000000 -1.000000       1
64  -0.071993 -0.172932  0.665924 -0.619938 -0.214286 -0.942029 -0.223048 -1.000000 -0.725490       1
54  -0.417910 -0.254135  0.251670 -0.376947  0.132143 -0.835749 -0.332714 -1.000000 -0.647059       1
63  -0.023705  0.034586  0.697105 -0.694704 -0.450000 -1.000000 -0.208178 -1.000000 -1.000000       1
61  -0.243196 -0.073684  0.594655 -0.358255 -0.317857 -0.961353 -0.397770 -0.561905 -1.000000       1
60  -0.306409 -0.136842  0.612472 -0.489097  0.010714 -0.954911 -0.381041 -1.000000 -1.000000       1
59  -0.438982 -0.200000  0.630290 -0.439252  0.064286 -0.816425 -0.472119 -1.000000 -0.568627       1
..        ...       ...       ...       ...       ...       ...       ...       ...       ...     ...
180 -0.838455  0.103759 -0.224944 -0.221184  0.692857 -1.000000 -0.598513 -1.000000 -1.000000       6
204 -0.559263  0.269173 -1.000000  0.233645  0.246429 -1.000000 -0.390335 -0.574603 -1.000000       7
201 -0.527656 -0.633083 -1.000000 -0.439252  0.917857 -0.130435 -0.349442 -1.000000 -1.000000       7
202 -0.649693  0.239098 -1.000000  0.327103  0.396429 -1.000000 -0.449814 -0.644444 -1.000000       7
203 -0.523266  0.224060 -1.000000  0.059190  0.178571 -1.000000 -0.470260  0.085714 -1.000000       7
205 -0.458297  0.269173 -1.000000 -0.059190  0.135714 -1.000000 -0.408922 -0.015873 -1.000000       7
200 -0.654960  0.329323 -1.000000  0.221184  0.317857 -1.000000 -0.459108 -0.600000 -1.000000       7
207 -0.371378  0.100752 -1.000000 -0.046729  0.089286 -0.545894 -0.806691  0.828571 -1.000000       7
208 -0.539069  0.094737 -1.000000  0.526480  0.085714 -1.000000 -0.252788 -0.657143 -1.000000       7
209 -0.553995  0.025564 -1.000000  0.613707  0.000000 -0.974235 -0.302974 -0.326984 -1.000000       7
210 -0.499561  0.260150 -1.000000  0.059190  0.160714 -1.000000 -0.447955  0.009524 -1.000000       7
211 -0.165935  0.091729 -1.000000  0.077882  0.289286 -1.000000 -0.440520  0.041270 -1.000000       7
206 -0.534680  0.266165 -1.000000 -0.015576  0.178571 -1.000000 -0.397770 -0.123810 -1.000000       7
199 -0.566286  0.287218 -1.000000  0.383178  0.157143 -0.983897 -0.368030 -0.663492 -1.000000       7
212 -0.529412  0.097744 -1.000000  0.028037  0.357143 -1.000000 -0.433086 -0.003175 -1.000000       7
197 -0.462687  0.193985 -1.000000  0.277259  0.239286 -1.000000 -0.345725 -0.580952 -1.000000       7
196 -0.612818 -0.055639 -1.000000  0.401869  0.221429 -0.954911 -0.260223 -0.485714 -0.960784       7
195 -0.622476  0.025564 -1.000000  0.489097  0.278571 -0.974235 -0.323420 -0.612698 -0.803922       7
194 -0.501317  0.151880 -1.000000  0.052960  0.242857 -1.000000 -0.425651 -0.003175 -0.725490       7
193 -0.469710  0.209023 -1.000000  0.065421  0.146429 -1.000000 -0.423792  0.009524 -0.686275       7
192 -0.553995  0.043609 -1.000000  0.557632  0.303571 -0.987118 -0.328996 -0.746032 -0.647059       7
191 -0.572432  0.239098 -1.000000  0.302181  0.239286 -1.000000 -0.381041 -0.593651 -0.647059       7
190 -0.562774 -0.052632 -0.207127 -0.065421  0.175000 -1.000000 -0.397770 -0.517460 -1.000000       7
189  0.097454  0.521805 -0.184855 -0.364486 -0.778571 -0.900161 -0.408922  0.066667 -1.000000       7
188 -0.006146  0.242105 -0.020045  0.102804 -0.839286 -0.755233 -0.195167 -1.000000 -1.000000       7
187  0.053556 -0.184962  0.487751 -0.414330 -0.082143 -0.806763 -0.368030 -1.000000 -1.000000       7
186 -0.365233  0.079699  0.452116  0.202492 -0.485714 -0.529791 -0.933086  0.034921 -1.000000       7
185 -0.985953 -0.109774  0.425390 -0.052960  0.071429 -0.433172 -1.000000 -0.244444 -1.000000       7
198 -0.634767  0.097744 -1.000000  0.476636  0.175000 -0.987118 -0.321561 -0.593651 -1.000000       7
213 -0.476734  0.052632 -1.000000  0.115265  0.267857 -1.000000 -0.407063  0.060317 -1.000000       7

[214 rows x 10 columns]
This is a classification set
class key: {0: 1.0, 1: 2.0, 2: 3.0, 3: 5.0, 4: 6.0, 5: 7.0}
the dataset is: 
[-0.13432835820895783, -0.12481203007518771, 1.0, -0.49532710280373826, -0.29642857142857115, -0.9806763285024155, -0.3828996282527881, -1.0, -1.0, 0]
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 5.0
predicted: 2.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
l_rate: 0.1; n_epoch: 300, n_hidden: [9]
epoch: 0, lrate: 0.100, error: 471.39678526
epoch: 100, lrate: 0.100, error: 180.46854350
epoch: 200, lrate: 0.100, error: 160.01320760
epoch: 300, lrate: 0.100, error: 147.04226687
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 9 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [1.37772482763494, 0.7923998825189111, 0.1951481497738693, 0.05163441416300502, 0.42911817045495515, 0.3746146712245057, 0.6957728170905323, 0.7793512481467013, 0.8011342281547759, -0.4800405684819828], 'output': 0.038452046171020965, 'delta': -0.0032438973000287153}, {'weights': [-0.29579761640689106, 0.06368712222423634, -0.9052608615731972, 2.013024614733554, 0.7341702674030329, 0.15808794681068167, -0.2220062325546197, 2.014720918540794, 0.5357289226549782, 0.6022700474630163], 'output': 0.04847721863401458, 'delta': 0.0001665887096356175}, {'weights': [2.3847446736379907, 1.0892733531665755, 3.058426739801211, -3.6479925906930806, 1.2458307313480954, -0.5158548631326513, 0.8869183301459643, -1.7646976752286747, 2.838101003361328, 0.8893462268148603], 'output': 0.790490203131966, 'delta': 0.08637420667574632}, {'weights': [2.2565777276345482, 0.3698950913360167, -0.9353578989573239, -1.2576928984381428, -0.5887933930878686, 0.48285878801032284, 2.6511226093058413, 0.08989783369223676, 0.9812096448350704, -0.04591576715397199], 'output': 0.04329398126221274, 'delta': -0.012858333149258178}, {'weights': [0.3138489048036385, 3.388223462711551, -0.11075015314132548, 2.223666559097069, -1.3474717046234879, -1.6367307276936403, -1.0558519148332106, 4.0537269183092635, -1.0075530567883337, 0.7437667709281817], 'output': 0.0769023694046781, 'delta': 0.002090554942861795}, {'weights': [-0.2620928868293901, 0.8864729188800377, 4.50397129564287, 4.140662159170536, 0.1838028779726705, 1.4006455302401755, -1.7011616107250498, 0.5652306120657934, -0.2890715097243511, -0.5870960645957922], 'output': 0.11337216741967616, 'delta': -0.02356768453538152}, {'weights': [0.3254411776749559, 1.4977437427862608, 1.0302493825764805, 1.4011894691162923, -1.8931399293083264, 1.2904620977331478, -0.767607150316204, 0.6134611356610837, 2.5661048401368167, 0.647705646125817], 'output': 0.014327978666254725, 'delta': -0.004214516333462346}, {'weights': [0.35602309979202645, -0.6211602845848848, -0.011660056719859917, 1.85304530339136, 0.03637834025047931, 1.764068687983839, 0.09979485697615577, 0.7197843718689074, 0.41231547385251394, 0.9084737867423315], 'output': 0.07277377819724123, 'delta': -0.000602038322353539}, {'weights': [-0.4488070429003198, 0.28217643213867966, -3.355968684921091, 5.5620734258658295, 0.4298597656564137, -0.5652453313773204, -0.8285765955691672, -1.9420375664433323, 1.7336533384926773, 1.8522508842665386], 'output': 0.40531796634687556, 'delta': -0.08509011223543857}]
node #0: {'weights': [1.37772482763494, 0.7923998825189111, 0.1951481497738693, 0.05163441416300502, 0.42911817045495515, 0.3746146712245057, 0.6957728170905323, 0.7793512481467013, 0.8011342281547759, -0.4800405684819828], 'output': 0.038452046171020965, 'delta': -0.0032438973000287153}
node #1: {'weights': [-0.29579761640689106, 0.06368712222423634, -0.9052608615731972, 2.013024614733554, 0.7341702674030329, 0.15808794681068167, -0.2220062325546197, 2.014720918540794, 0.5357289226549782, 0.6022700474630163], 'output': 0.04847721863401458, 'delta': 0.0001665887096356175}
node #2: {'weights': [2.3847446736379907, 1.0892733531665755, 3.058426739801211, -3.6479925906930806, 1.2458307313480954, -0.5158548631326513, 0.8869183301459643, -1.7646976752286747, 2.838101003361328, 0.8893462268148603], 'output': 0.790490203131966, 'delta': 0.08637420667574632}
node #3: {'weights': [2.2565777276345482, 0.3698950913360167, -0.9353578989573239, -1.2576928984381428, -0.5887933930878686, 0.48285878801032284, 2.6511226093058413, 0.08989783369223676, 0.9812096448350704, -0.04591576715397199], 'output': 0.04329398126221274, 'delta': -0.012858333149258178}
node #4: {'weights': [0.3138489048036385, 3.388223462711551, -0.11075015314132548, 2.223666559097069, -1.3474717046234879, -1.6367307276936403, -1.0558519148332106, 4.0537269183092635, -1.0075530567883337, 0.7437667709281817], 'output': 0.0769023694046781, 'delta': 0.002090554942861795}
node #5: {'weights': [-0.2620928868293901, 0.8864729188800377, 4.50397129564287, 4.140662159170536, 0.1838028779726705, 1.4006455302401755, -1.7011616107250498, 0.5652306120657934, -0.2890715097243511, -0.5870960645957922], 'output': 0.11337216741967616, 'delta': -0.02356768453538152}
node #6: {'weights': [0.3254411776749559, 1.4977437427862608, 1.0302493825764805, 1.4011894691162923, -1.8931399293083264, 1.2904620977331478, -0.767607150316204, 0.6134611356610837, 2.5661048401368167, 0.647705646125817], 'output': 0.014327978666254725, 'delta': -0.004214516333462346}
node #7: {'weights': [0.35602309979202645, -0.6211602845848848, -0.011660056719859917, 1.85304530339136, 0.03637834025047931, 1.764068687983839, 0.09979485697615577, 0.7197843718689074, 0.41231547385251394, 0.9084737867423315], 'output': 0.07277377819724123, 'delta': -0.000602038322353539}
node #8: {'weights': [-0.4488070429003198, 0.28217643213867966, -3.355968684921091, 5.5620734258658295, 0.4298597656564137, -0.5652453313773204, -0.8285765955691672, -1.9420375664433323, 1.7336533384926773, 1.8522508842665386], 'output': 0.40531796634687556, 'delta': -0.08509011223543857}
output layer: [{'weights': [-0.49436042438140804, -0.4203652550089549, 3.965509335115148, -1.6631442945407313, -0.3052130733024421, -0.811932453034668, -2.26448497626989, -0.3774878695206809, -2.03472217130974, -2.281693850226624], 'output': 0.4294813858902863, 'delta': 0.13979253581082662}, {'weights': [0.5570505484879217, -2.060759481798186, 1.2551664048749642, 3.1064130211404746, -2.50847943351372, 4.980542787728729, -1.0971798407922075, -1.4286014253020227, 2.9883216489605244, -4.0443367758785005], 'output': 0.1782721108567382, 'delta': -0.026115289268348205}, {'weights': [0.3563080001127086, -0.16380475849363235, 0.683062182045619, -0.336519766129881, -0.6051180304476192, -0.32876503646393584, 1.484535783540448, -0.5355274903136752, -2.352381264273865, -1.7583963088090326], 'output': 0.09272522789873942, 'delta': -0.007800719356911357}, {'weights': [0.011152052711013662, 0.06440690562329812, -3.4878586977534236, 0.6348743648597599, -3.7736741653574257, 0.09279832056412178, 2.7577804988270715, 2.248964616711382, 2.2554928440292135, -1.82931821145916], 'output': 0.023715805075742377, 'delta': -0.0005491007069668688}, {'weights': [0.2502639055559762, -1.542127675932517, -1.0141281163182927, -0.20368212736914518, -0.015593072512370585, -1.4137922002770653, -0.5395676650144559, -0.7734734931747989, 1.4191115654511819, -2.0296255778289995], 'output': 0.07211329863648598, 'delta': -0.004825315045684512}, {'weights': [0.42840600578813093, 1.2824270466869343, -4.2655836082226095, -0.3757054121542653, 4.985271409755161, -0.22810454260971513, -0.16536320063079293, -0.5941148060525858, -0.9265741483861912, -2.001757869415988], 'output': 0.004609919779077515, 'delta': -2.115339330303028e-05}]
node #0: {'weights': [-0.49436042438140804, -0.4203652550089549, 3.965509335115148, -1.6631442945407313, -0.3052130733024421, -0.811932453034668, -2.26448497626989, -0.3774878695206809, -2.03472217130974, -2.281693850226624], 'output': 0.4294813858902863, 'delta': 0.13979253581082662}
node #1: {'weights': [0.5570505484879217, -2.060759481798186, 1.2551664048749642, 3.1064130211404746, -2.50847943351372, 4.980542787728729, -1.0971798407922075, -1.4286014253020227, 2.9883216489605244, -4.0443367758785005], 'output': 0.1782721108567382, 'delta': -0.026115289268348205}
node #2: {'weights': [0.3563080001127086, -0.16380475849363235, 0.683062182045619, -0.336519766129881, -0.6051180304476192, -0.32876503646393584, 1.484535783540448, -0.5355274903136752, -2.352381264273865, -1.7583963088090326], 'output': 0.09272522789873942, 'delta': -0.007800719356911357}
node #3: {'weights': [0.011152052711013662, 0.06440690562329812, -3.4878586977534236, 0.6348743648597599, -3.7736741653574257, 0.09279832056412178, 2.7577804988270715, 2.248964616711382, 2.2554928440292135, -1.82931821145916], 'output': 0.023715805075742377, 'delta': -0.0005491007069668688}
node #4: {'weights': [0.2502639055559762, -1.542127675932517, -1.0141281163182927, -0.20368212736914518, -0.015593072512370585, -1.4137922002770653, -0.5395676650144559, -0.7734734931747989, 1.4191115654511819, -2.0296255778289995], 'output': 0.07211329863648598, 'delta': -0.004825315045684512}
node #5: {'weights': [0.42840600578813093, 1.2824270466869343, -4.2655836082226095, -0.3757054121542653, 4.985271409755161, -0.22810454260971513, -0.16536320063079293, -0.5941148060525858, -0.9265741483861912, -2.001757869415988], 'output': 0.004609919779077515, 'delta': -2.115339330303028e-05}
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 3.0
predicted: 2.0; actual: 5.0
predicted: 5.0; actual: 6.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
predicted: 7.0; actual: 7.0
The tuned model looks like: l_rate: 0.5; n_epoch: 300, n_hidden: [5]
The model has a loss of 31.818181818181817
epoch: 0, lrate: 0.500, error: 319.88501460
epoch: 100, lrate: 0.500, error: 143.82660342
epoch: 200, lrate: 0.500, error: 125.67248494
epoch: 300, lrate: 0.500, error: 114.85625344
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 5 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [0.030261262475587622, 5.874470709101377, -1.454988455317171, 1.6290082176090688, -0.7680410379563636, -0.7394559824986475, -1.672494795054806, 6.458616464691793, -4.352928958431943, 0.7243052089310273], 'output': 0.07209459464541455, 'delta': 0.016754442279521147}, {'weights': [4.7370657064061525, 5.845087244148181, -2.8374138592484615, -2.5067825801168295, 1.5839344348007423, -0.8724679032220973, 1.6039063484878542, -2.7526903779024745, 4.889025830446801, -1.047709475028249], 'output': 0.004048945773808667, 'delta': -0.0018093375518170095}, {'weights': [-1.0188989090498684, 1.4889630176594424, 1.094467509388081, 2.253776317077188, -2.697793146815815, 2.8736322674385075, -1.4729389807812832, 1.9035277742663126, 5.909463956444404, 1.6303917755032629], 'output': 0.00014368716135638058, 'delta': 2.2999000072918584e-05}, {'weights': [-3.4880080215335107, 0.1115642169840161, 10.034847273084512, 15.157592799274472, -5.258230282137021, 5.001465281135132, -8.183284539004115, -0.9746567096376638, 0.5930594004009199, -2.813799609474975], 'output': 0.0011226729439129275, 'delta': -0.0003639351800179739}, {'weights': [-2.2390721729562917, -1.4020614650552146, -4.927539632503853, 7.447491187063145, -0.82208781101219, -1.5531472421640278, 0.827504003202058, 3.2424323732692146, -1.0875049570028938, 1.7201329855061132], 'output': 0.050258379942218205, 'delta': -0.029111207308020772}]
node #0: {'weights': [0.030261262475587622, 5.874470709101377, -1.454988455317171, 1.6290082176090688, -0.7680410379563636, -0.7394559824986475, -1.672494795054806, 6.458616464691793, -4.352928958431943, 0.7243052089310273], 'output': 0.07209459464541455, 'delta': 0.016754442279521147}
node #1: {'weights': [4.7370657064061525, 5.845087244148181, -2.8374138592484615, -2.5067825801168295, 1.5839344348007423, -0.8724679032220973, 1.6039063484878542, -2.7526903779024745, 4.889025830446801, -1.047709475028249], 'output': 0.004048945773808667, 'delta': -0.0018093375518170095}
node #2: {'weights': [-1.0188989090498684, 1.4889630176594424, 1.094467509388081, 2.253776317077188, -2.697793146815815, 2.8736322674385075, -1.4729389807812832, 1.9035277742663126, 5.909463956444404, 1.6303917755032629], 'output': 0.00014368716135638058, 'delta': 2.2999000072918584e-05}
node #3: {'weights': [-3.4880080215335107, 0.1115642169840161, 10.034847273084512, 15.157592799274472, -5.258230282137021, 5.001465281135132, -8.183284539004115, -0.9746567096376638, 0.5930594004009199, -2.813799609474975], 'output': 0.0011226729439129275, 'delta': -0.0003639351800179739}
node #4: {'weights': [-2.2390721729562917, -1.4020614650552146, -4.927539632503853, 7.447491187063145, -0.82208781101219, -1.5531472421640278, 0.827504003202058, 3.2424323732692146, -1.0875049570028938, 1.7201329855061132], 'output': 0.050258379942218205, 'delta': -0.029111207308020772}
output layer: [{'weights': [2.1319784332192606, -5.0962720495906675, 1.5160859524363581, -3.810237564272545, -8.816071774411652, 1.0449251292766824], 'output': 0.6667549557821209, 'delta': 0.07404464436961089}, {'weights': [-7.6047663659071425, 4.410889991685926, -5.524093751875199, 5.829804696530113, 0.3473583718720185, -1.5826963061725585], 'output': 0.11062167581331879, 'delta': -0.010883460548788186}, {'weights': [-1.2868665441113154, 2.088296890818842, 1.4715711885402842, -1.870261433175263, -4.622237190031792, -1.833234993900297], 'output': 0.10462957984561985, 'delta': -0.009801932454609225}, {'weights': [-6.7330427668058155, -5.040771482714201, 4.633945845463207, 0.44435236225956903, 10.257025212467967, -6.293649268704689], 'output': 0.001864665582028144, 'delta': -3.470494332092526e-06}, {'weights': [2.810494393295343, 3.0887372881643698, -2.3148718875144807, -2.9297577899852945, -1.6757028276996664, -3.5723981564485734], 'output': 0.030929007877268922, 'delta': -0.00092701673021081}, {'weights': [8.770692024344797, -3.5097368070179535, -4.993961531422392, 0.19008864957985375, 2.440099375235626, -8.24118615997742], 'output': 0.0005522562589249028, 'delta': -3.048185445556068e-07}]
node #0: {'weights': [2.1319784332192606, -5.0962720495906675, 1.5160859524363581, -3.810237564272545, -8.816071774411652, 1.0449251292766824], 'output': 0.6667549557821209, 'delta': 0.07404464436961089}
node #1: {'weights': [-7.6047663659071425, 4.410889991685926, -5.524093751875199, 5.829804696530113, 0.3473583718720185, -1.5826963061725585], 'output': 0.11062167581331879, 'delta': -0.010883460548788186}
node #2: {'weights': [-1.2868665441113154, 2.088296890818842, 1.4715711885402842, -1.870261433175263, -4.622237190031792, -1.833234993900297], 'output': 0.10462957984561985, 'delta': -0.009801932454609225}
node #3: {'weights': [-6.7330427668058155, -5.040771482714201, 4.633945845463207, 0.44435236225956903, 10.257025212467967, -6.293649268704689], 'output': 0.001864665582028144, 'delta': -3.470494332092526e-06}
node #4: {'weights': [2.810494393295343, 3.0887372881643698, -2.3148718875144807, -2.9297577899852945, -1.6757028276996664, -3.5723981564485734], 'output': 0.030929007877268922, 'delta': -0.00092701673021081}
node #5: {'weights': [8.770692024344797, -3.5097368070179535, -4.993961531422392, 0.19008864957985375, 2.440099375235626, -8.24118615997742], 'output': 0.0005522562589249028, 'delta': -3.048185445556068e-07}
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 3.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 1.0
predicted: 7.0; actual: 7.0
predicted: 1.0; actual: 2.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 5.0
predicted: 1.0; actual: 6.0
predicted: 2.0; actual: 3.0
predicted: 1.0; actual: 1.0
predicted: 7.0; actual: 7.0
predicted: 5.0; actual: 2.0
predicted: 7.0; actual: 7.0
predicted: 2.0; actual: 1.0
predicted: 1.0; actual: 7.0
predicted: 1.0; actual: 3.0
predicted: 2.0; actual: 1.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 2.0
predicted: 1.0; actual: 1.0
predicted: 2.0; actual: 2.0
predicted: 5.0; actual: 7.0
predicted: 1.0; actual: 1.0
predicted: 1.0; actual: 1.0
predicted: 5.0; actual: 5.0
predicted: 2.0; actual: 5.0
predicted: 2.0; actual: 2.0
predicted: 2.0; actual: 1.0
l_rate: 10; n_epoch: 500, n_hidden: [5]
epoch: 0, lrate: 10.000, error: 226.39310361
epoch: 100, lrate: 10.000, error: 147.84453990
epoch: 200, lrate: 10.000, error: 112.17194367
epoch: 300, lrate: 10.000, error: 109.72810182
epoch: 400, lrate: 10.000, error: 140.10549303
epoch: 500, lrate: 10.000, error: 141.00626708
the trained network:
there are a total of 1 hidden layers
there are 9 inputs
there are 5 nodes in the 1st hidden layer
there are 6 nodes in the output layer
layer 0: [{'weights': [30.87936107418973, -30.27911560652673, -27.759577202919335, -5.019864557365668, -6.841439354923962, 5.1370347148528115, 45.85943279285907, -13.940952759053923, 1.6581871813394866, -8.045022809072526], 'output': 9.839064933774274e-13, 'delta': -1.0839331357286414e-12}, {'weights': [-2.511899237345665, -15.258440962522819, 41.47083680224721, -7.728095700872147, -14.744178010450765, 6.005648568463713, -2.018371133436054, -23.864897423030172, 34.52386514390268, 3.6638198648627585], 'output': 0.9982750340997175, 'delta': -0.0011645719734545623}, {'weights': [-94.44888910951458, -21.376517292223927, 2.1147101585162, 117.84830024903152, -49.53750850887749, 1.9623163775251031, -90.04302805219966, 28.979743155786494, 20.56096102482351, 45.59981483145965], 'output': 0.9999542696072634, 'delta': -2.4756383919475985e-05}, {'weights': [12.632787320080165, 2.653728461216014, -2.3516701467133796, -3.892298193099378, -4.62526913400693, 8.494807883316893, 10.711729394595432, 5.30316968169214, 5.991547323432189, -9.266217824355621], 'output': 2.653597012683295e-16, 'delta': -1.7548265605269165e-16}, {'weights': [-0.6402428897404171, 1.1517004073421202, 0.7155747852072905, 7.481883562801242, -4.386613989055254, 8.159320064165177, -1.2601026460440101, 0.7520664141499934, 2.924512812211179, -2.55954394746153], 'output': 1.187106594377846e-07, 'delta': 8.14520334349758e-09}]
node #0: {'weights': [30.87936107418973, -30.27911560652673, -27.759577202919335, -5.019864557365668, -6.841439354923962, 5.1370347148528115, 45.85943279285907, -13.940952759053923, 1.6581871813394866, -8.045022809072526], 'output': 9.839064933774274e-13, 'delta': -1.0839331357286414e-12}
node #1: {'weights': [-2.511899237345665, -15.258440962522819, 41.47083680224721, -7.728095700872147, -14.744178010450765, 6.005648568463713, -2.018371133436054, -23.864897423030172, 34.52386514390268, 3.6638198648627585], 'output': 0.9982750340997175, 'delta': -0.0011645719734545623}
node #2: {'weights': [-94.44888910951458, -21.376517292223927, 2.1147101585162, 117.84830024903152, -49.53750850887749, 1.9623163775251031, -90.04302805219966, 28.979743155786494, 20.56096102482351, 45.59981483145965], 'output': 0.9999542696072634, 'delta': -2.4756383919475985e-05}
node #3: {'weights': [12.632787320080165, 2.653728461216014, -2.3516701467133796, -3.892298193099378, -4.62526913400693, 8.494807883316893, 10.711729394595432, 5.30316968169214, 5.991547323432189, -9.266217824355621], 'output': 2.653597012683295e-16, 'delta': -1.7548265605269165e-16}
node #4: {'weights': [-0.6402428897404171, 1.1517004073421202, 0.7155747852072905, 7.481883562801242, -4.386613989055254, 8.159320064165177, -1.2601026460440101, 0.7520664141499934, 2.924512812211179, -2.55954394746153], 'output': 1.187106594377846e-07, 'delta': 8.14520334349758e-09}
output layer: [{'weights': [-9.894515980912505, 9.388211530695928, -4.571453495632284, -0.8445172813297988, -2.5239074454679225, -6.637071560269284], 'output': 0.0447706097833046, 'delta': 0.04085153332861249}, {'weights': [9.958903049215314, 14.184738242347398, 4.126269493062473, 8.947830726427364, -2.4511546436747493, -17.988564256362796], 'output': 0.9166104916194522, 'delta': -0.0700617629709225}, {'weights': [-2.6937258317023214, 3.32502962341075, -2.265260250423632, -0.9517529140822556, 0.12317671894535873, -5.6246793978119936], 'output': 0.010278094906247212, 'delta': -0.00010455346481968059}, {'weights': [10.89248432315408, -11.478023252384293, 5.064221485752079, -8.219856382861359, 13.150910114428372, -8.876891355222886], 'output': 2.332571872774462e-07, 'delta': -5.4408902725315036e-14}, {'weights': [-8.274276081882876, -11.023852444276903, -7.888162380861175, -1.862250281819736, -2.147420749382812, 5.202374494692721], 'output': 1.1334264910034649e-06, 'delta': -1.2846541544457266e-12}, {'weights': [-8.35070080578769, -12.069216803044638, 9.153742412496946, -4.741999386990741, -11.215264246509243, -6.453366165588878], 'output': 8.709349385261359e-05, 'delta': -7.584616043208085e-09}]
