options: {'rename_cols': {1: 'vendor', 2: 'model', 3: 'MYCT', 4: 'MMIN', 5: 'MMAX', 6: 'CACH', 7: 'CHMIN', 8: 'CHMAX', 9: 'PRP'}, 'result_col': 10, 'drop_columns': ['model', 'PRP']}
        vendor  MYCT   MMIN   MMAX  CACH  CHMIN  CHMAX  result
better split found on 2 at 5240 with mse=12932.964098866378
better split found on 3 at 16000 with mse=11440.004677809316
better split found on 3 at 20970 with mse=10714.510889810683
better split found on 3 at 24000 with mse=10589.068784416466
better split found on 0 at amdahl with mse=1738.1255813953494
better split found on 0 at gould with mse=1699.488067837674
better split found on 0 at nas with mse=1686.4286642650286
better split found on 0 at ncr with mse=1654.8568589743586
better split found on 1 at 38 with mse=1342.9522435897434
better split found on 1 at 48 with mse=1266.2775812422874
better split found on 1 at 60 with mse=1212.0430249955994
better split found on 1 at 64 with mse=1154.4252465483235
better split found on 1 at 70 with mse=1153.5628846153845
better split found on 1 at 72 with mse=1107.4381727343637
better split found on 1 at 75 with mse=964.1409977703456
better split found on 2 at 3100 with mse=940.6555575713595
better split found on 3 at 8000 with mse=794.4938887366404
better split found on 3 at 12000 with mse=729.7052366138762
better split found on 0 at basf with mse=326.03114035087714
better split found on 0 at burroughs with mse=324.42980769230763
better split found on 0 at cdc with mse=318.9677309782608
better split found on 1 at 25 with mse=288.1978046594982
better split found on 1 at 38 with mse=266.7381114130435
better split found on 1 at 75 with mse=259.15920513775126
better split found on 1 at 110 with mse=247.19984217171714
better split found on 2 at 1000 with mse=208.81448412698415
better split found on 4 at 8 with mse=202.88777341079975
better split found on 4 at 9 with mse=200.38430377492878
better split found on 4 at 16 with mse=176.7514037433155
better split found on 4 at 24 with mse=171.63452034883719
better split found on 0 at bti with mse=128.8407660738714
better split found on 0 at siemens with mse=128.44599483204138
better split found on 1 at 25 with mse=109.98048172757473
better split found on 1 at 70 with mse=109.97468639887245
better split found on 1 at 75 with mse=104.14744395558347
better split found on 2 at 1000 with mse=87.71417854463616
better split found on 3 at 3000 with mse=85.14349894291755
better split found on 3 at 4000 with mse=60.73
better split found on 3 at 4500 with mse=58.29363559377238
better split found on 3 at 5000 with mse=48.675959899065674
better split found on 3 at 6000 with mse=45.544372910553435
better split found on 0 at bti with mse=25.08854471069549
better split found on 0 at honeywell with mse=25.017801940091662
better split found on 1 at 110 with mse=24.81346302003082
better split found on 1 at 115 with mse=24.305515200430463
better split found on 1 at 140 with mse=23.040499553969667
better split found on 1 at 150 with mse=22.116936659309538
better split found on 1 at 160 with mse=21.7317191283293
better split found on 1 at 225 with mse=20.57246348512068
better split found on 1 at 320 with mse=20.285741189131024
better split found on 1 at 330 with mse=19.98650870132079
better split found on 2 at 1000 with mse=18.68336215842269
better split found on 3 at 1000 with mse=18.359795613160514
better split found on 3 at 1500 with mse=17.136760828625235
better split found on 3 at 2000 with mse=9.62496740547588
better split found on 3 at 3000 with mse=9.623391496272852
better split found on 0 at bti with mse=3.718614718614718
better split found on 1 at 300 with mse=3.5537190082644625
better split found on 1 at 320 with mse=3.2954545454545454
better split found on 3 at 1000 with mse=2.5852272727272725
better split found on 3 at 1500 with mse=2.1452991452991457
better split found on 0 at bti with mse=0.38888888888888884
better split found on 2 at 64 with mse=0.38888888888888884
better split found on 3 at 64 with mse=0.38888888888888884
better split found on 0 at dec with mse=0.4285714285714286
better split found on 0 at four-phase with mse=0.3571428571428571
better split found on 0 at ibm with mse=0.23333333333333334
better split found on 1 at 240 with mse=0.1
better split found on 0 at dec with mse=0.15000000000000002
better split found on 0 at harris with mse=0.15000000000000002
better split found on 0 at ibm with mse=0.13333333333333333
better split found on 1 at 810 with mse=0.13333333333333333
better split found on 3 at 768 with mse=0.13333333333333333
better split found on 4 at 0 with mse=0.13333333333333333
better split found on 6 at 1 with mse=0.13333333333333333
better split found on 0 at harris with mse=0.16666666666666666
better split found on 0 at ibm with mse=0.16666666666666666
better split found on 1 at 300 with mse=0.16666666666666666
better split found on 2 at 192 with mse=0.16666666666666666
better split found on 2 at 512 with mse=0.16666666666666666
better split found on 3 at 768 with mse=0.16666666666666666
better split found on 4 at 0 with mse=0.16666666666666666
better split found on 5 at 1 with mse=0.16666666666666666
better split found on 6 at 2 with mse=0.16666666666666666
better split found on 0 at ibm with mse=0.25
better split found on 1 at 900 with mse=0.25
better split found on 2 at 512 with mse=0.0
better split found on 0 at burroughs with mse=2.5897435897435903
better split found on 0 at cdc with mse=2.3782051282051273
better split found on 0 at dg with mse=2.2243589743589736
better split found on 0 at harris with mse=1.2447552447552446
better split found on 3 at 2000 with mse=1.2447552447552446
better split found on 5 at 5 with mse=1.2447552447552446
better split found on 6 at 16 with mse=1.2447552447552446
better split found on 0 at burroughs with mse=1.127272727272727
better split found on 0 at cdc with mse=0.7727272727272727
better split found on 1 at 50 with mse=0.7727272727272727
better split found on 1 at 240 with mse=0.6545454545454545
better split found on 1 at 320 with mse=0.5727272727272726
better split found on 6 at 1 with mse=0.5727272727272726
better split found on 0 at dg with mse=0.0
better split found on 0 at ibm with mse=0.0
better split found on 2 at 256 with mse=0.0
better split found on 0 at burroughs with mse=0.8666666666666669
better split found on 0 at c.r.d with mse=0.8666666666666667
better split found on 0 at cdc with mse=0.4666666666666666
better split found on 0 at hp with mse=0.4666666666666666
better split found on 1 at 50 with mse=0.4666666666666666
better split found on 2 at 256 with mse=0.4666666666666666
better split found on 4 at 4 with mse=0.41666666666666663
better split found on 0 at burroughs with mse=0.16666666666666669
better split found on 0 at hp with mse=0.16666666666666669
better split found on 2 at 256 with mse=0.16666666666666669
better split found on 5 at 3 with mse=0.16666666666666669
better split found on 6 at 10 with mse=0.16666666666666669
better split found on 0 at c.r.d with mse=0.16666666666666666
better split found on 0 at hp with mse=0.0
better split found on 2 at 256 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 6 with mse=0.0
better split found on 0 at cdc with mse=0.0
better split found on 0 at siemens with mse=0.0
better split found on 1 at 50 with mse=0.0
better split found on 2 at 500 with mse=0.0
better split found on 6 at 4 with mse=0.0
better split found on 0 at harris with mse=1.0
better split found on 1 at 300 with mse=1.0
better split found on 2 at 768 with mse=1.0
better split found on 3 at 3000 with mse=1.0
better split found on 4 at 0 with mse=0.0
better split found on 0 at burroughs with mse=12.456456456456456
better split found on 0 at c.r.d with mse=12.403562653562659
better split found on 0 at cambex with mse=12.39864864864865
better split found on 0 at dg with mse=12.39864864864865
better split found on 0 at honeywell with mse=12.316768381284517
better split found on 0 at hp with mse=12.226640926640922
better split found on 0 at ibm with mse=12.183783783783785
better split found on 0 at microdata with mse=11.891891891891891
better split found on 0 at perkin-elmer with mse=11.32818532818533
better split found on 0 at siemens with mse=8.096096096096097
better split found on 1 at 150 with mse=8.018983268983268
better split found on 4 at 4 with mse=6.72747747747748
better split found on 0 at burroughs with mse=4.838333333333334
better split found on 0 at ipl with mse=4.613333333333332
better split found on 0 at microdata with mse=3.4383333333333344
better split found on 1 at 150 with mse=2.76235294117647
better split found on 0 at burroughs with mse=3.5
better split found on 0 at honeywell with mse=3.416666666666667
better split found on 0 at hp with mse=3.3571428571428577
better split found on 0 at ipl with mse=3.3571428571428568
better split found on 0 at microdata with mse=1.2142857142857144
better split found on 1 at 143 with mse=1.2142857142857144
better split found on 5 at 7 with mse=1.2142857142857144
better split found on 6 at 32 with mse=1.2142857142857144
better split found on 0 at burroughs with mse=1.3333333333333333
better split found on 0 at ipl with mse=0.9761904761904763
better split found on 0 at ncr with mse=0.40476190476190466
better split found on 0 at burroughs with mse=0.46666666666666673
better split found on 0 at honeywell with mse=0.41666666666666663
better split found on 0 at hp with mse=0.33333333333333337
better split found on 0 at ipl with mse=0.2
better split found on 1 at 50 with mse=0.2
better split found on 0 at burroughs with mse=0.2
better split found on 0 at hp with mse=0.15000000000000002
better split found on 1 at 105 with mse=0.15000000000000002
better split found on 5 at 3 with mse=0.13333333333333333
better split found on 0 at honeywell with mse=0.16666666666666666
better split found on 0 at hp with mse=0.16666666666666666
better split found on 0 at nas with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 5 with mse=0.0
better split found on 0 at c.r.d with mse=1.2024886877828056
better split found on 1 at 250 with mse=0.9934640522875817
better split found on 3 at 4000 with mse=0.44206773618538325
better split found on 0 at honeywell with mse=0.5545454545454546
better split found on 0 at ibm with mse=0.20202020202020204
better split found on 2 at 512 with mse=0.18484848484848482
better split found on 0 at perkin-elmer with mse=0.125
better split found on 0 at prime with mse=0.0
better split found on 1 at 160 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 0 at honeywell with mse=0.2
better split found on 0 at ibm with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 0 at c.r.d with mse=0.20833333333333331
better split found on 0 at dec with mse=0.2
better split found on 0 at harris with mse=0.13333333333333333
better split found on 1 at 300 with mse=0.13333333333333333
better split found on 3 at 4500 with mse=0.13333333333333333
better split found on 6 at 12 with mse=0.13333333333333333
better split found on 0 at c.r.d with mse=0.15000000000000002
better split found on 0 at dec with mse=0.15000000000000002
better split found on 1 at 320 with mse=0.15000000000000002
better split found on 2 at 128 with mse=0.15000000000000002
better split found on 2 at 256 with mse=0.13333333333333333
better split found on 3 at 5000 with mse=0.13333333333333333
better split found on 4 at 0 with mse=0.1
better split found on 0 at c.r.d with mse=0.25
better split found on 1 at 320 with mse=0.25
better split found on 2 at 256 with mse=0.0
better split found on 6 at 5 with mse=0.0
better split found on 0 at cambex with mse=9.909090909090908
better split found on 0 at cdc with mse=9.469696969696972
better split found on 0 at prime with mse=9.469696969696972
better split found on 0 at siemens with mse=2.7424242424242435
better split found on 5 at 3 with mse=2.7424242424242435
better split found on 0 at cambex with mse=2.872727272727272
better split found on 0 at cdc with mse=2.5545454545454542
better split found on 0 at ibm with mse=2.4128787878787876
better split found on 2 at 512 with mse=1.4636363636363634
better split found on 3 at 4000 with mse=1.4636363636363634
better split found on 0 at cambex with mse=1.5555555555555558
better split found on 0 at cdc with mse=1.2888888888888888
better split found on 0 at hp with mse=1.0222222222222224
better split found on 2 at 1000 with mse=0.39999999999999997
better split found on 0 at cambex with mse=0.2
better split found on 0 at cdc with mse=0.15000000000000002
better split found on 0 at prime with mse=0.15000000000000002
better split found on 5 at 1 with mse=0.13333333333333333
better split found on 0 at cdc with mse=0.16666666666666666
better split found on 0 at dg with mse=0.0
better split found on 4 at 8 with mse=0.0
better split found on 6 at 2 with mse=0.0
better split found on 0 at honeywell with mse=0.5333333333333333
better split found on 0 at hp with mse=0.2
better split found on 0 at ibm with mse=0.13333333333333333
better split found on 1 at 140 with mse=0.13333333333333333
better split found on 6 at 6 with mse=0.13333333333333333
better split found on 0 at honeywell with mse=0.0
better split found on 0 at hp with mse=0.0
better split found on 1 at 105 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 19 with mse=0.0
better split found on 0 at burroughs with mse=85.41333333333334
better split found on 0 at dec with mse=82.5874074074074
better split found on 0 at formation with mse=70.33179012345678
better split found on 1 at 25 with mse=63.961481481481485
better split found on 1 at 56 with mse=63.081481481481475
better split found on 1 at 70 with mse=44.885361552028215
better split found on 1 at 75 with mse=39.503968253968246
better split found on 3 at 8000 with mse=27.280423280423282
better split found on 0 at burroughs with mse=25.894736842105257
better split found on 0 at dec with mse=25.20175438596491
better split found on 0 at formation with mse=17.34656084656085
better split found on 1 at 110 with mse=16.437271062271062
better split found on 2 at 512 with mse=15.43137254901961
better split found on 0 at dec with mse=0.0
better split found on 0 at formation with mse=0.0
better split found on 1 at 320 with mse=0.0
better split found on 2 at 256 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 6 at 4 with mse=0.0
better split found on 0 at burroughs with mse=18.807843137254903
better split found on 0 at dec with mse=18.691176470588236
better split found on 0 at dg with mse=16.99607843137255
better split found on 0 at hp with mse=10.996323529411764
better split found on 0 at burroughs with mse=11.683035714285714
better split found on 0 at dec with mse=11.608333333333334
better split found on 0 at dg with mse=10.34375
better split found on 0 at ncr with mse=10.058333333333334
better split found on 0 at siemens with mse=10.058333333333334
better split found on 0 at sperry with mse=9.975
better split found on 1 at 110 with mse=9.178571428571429
better split found on 0 at burroughs with mse=11.333333333333334
better split found on 0 at magnuson with mse=9.32857142857143
better split found on 2 at 1000 with mse=9.32857142857143
better split found on 4 at 4 with mse=9.095238095238095
better split found on 4 at 8 with mse=8.757142857142858
better split found on 6 at 6 with mse=6.9523809523809526
better split found on 0 at ipl with mse=10.166666666666668
better split found on 1 at 50 with mse=10.166666666666668
better split found on 4 at 0 with mse=3.166666666666667
better split found on 4 at 4 with mse=2.5
better split found on 0 at magnuson with mse=0.0
better split found on 0 at nas with mse=0.0
better split found on 1 at 92 with mse=0.0
better split found on 2 at 1000 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 0 at ipl with mse=0.0
better split found on 0 at magnuson with mse=0.0
better split found on 1 at 50 with mse=0.0
better split found on 2 at 1000 with mse=0.0
better split found on 4 at 8 with mse=0.0
better split found on 5 at 2 with mse=0.0
better split found on 0 at burroughs with mse=0.0
better split found on 1 at 105 with mse=0.0
better split found on 3 at 6200 with mse=0.0
better split found on 5 at 4 with mse=0.0
better split found on 6 at 14 with mse=0.0
better split found on 0 at burroughs with mse=6.986111111111111
better split found on 0 at dg with mse=6.53968253968254
better split found on 0 at ibm with mse=5.03968253968254
better split found on 1 at 200 with mse=5.03968253968254
better split found on 1 at 220 with mse=4.986111111111111
better split found on 2 at 3100 with mse=4.986111111111111
better split found on 6 at 1 with mse=4.986111111111111
better split found on 0 at burroughs with mse=5.428571428571429
better split found on 0 at dg with mse=5.1875
better split found on 0 at ibm with mse=5.107142857142858
better split found on 0 at prime with mse=4.428571428571429
better split found on 0 at sperry with mse=4.214285714285714
better split found on 1 at 124 with mse=4.214285714285714
better split found on 4 at 0 with mse=2.09375
better split found on 0 at burroughs with mse=3.5
better split found on 0 at dg with mse=2.0
better split found on 0 at sratus with mse=1.1666666666666665
better split found on 2 at 1000 with mse=0.625
better split found on 5 at 1 with mse=0.625
better split found on 6 at 8 with mse=0.625
better split found on 0 at dg with mse=0.0
better split found on 0 at sperry with mse=0.0
better split found on 1 at 124 with mse=0.0
better split found on 6 at 2 with mse=0.0
better split found on 0 at burroughs with mse=0.0
better split found on 0 at sratus with mse=0.0
better split found on 1 at 125 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 3 at 6200 with mse=0.0
better split found on 5 at 2 with mse=0.0
better split found on 6 at 14 with mse=0.0
better split found on 0 at dec with mse=0.16666666666666669
better split found on 0 at prime with mse=0.16666666666666669
better split found on 1 at 133 with mse=0.16666666666666669
better split found on 5 at 1 with mse=0.16666666666666669
better split found on 6 at 12 with mse=0.16666666666666669
better split found on 0 at dec with mse=0.0
better split found on 1 at 133 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 6 with mse=0.0
better split found on 0 at harris with mse=6.208333333333333
better split found on 1 at 70 with mse=6.208333333333333
better split found on 2 at 768 with mse=6.208333333333333
better split found on 6 at 8 with mse=6.208333333333333
better split found on 0 at ibm with mse=7.625
better split found on 0 at siemens with mse=4.5
better split found on 1 at 56 with mse=4.5
better split found on 5 at 1 with mse=1.625
better split found on 0 at ibm with mse=0.0
better split found on 0 at ncr with mse=0.0
better split found on 1 at 25 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 6 at 4 with mse=0.0
better split found on 0 at ibm with mse=0.0
better split found on 0 at siemens with mse=0.0
better split found on 1 at 25 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 4 at 8 with mse=0.0
better split found on 5 at 3 with mse=0.0
better split found on 6 at 5 with mse=0.0
better split found on 0 at harris with mse=0.25
better split found on 1 at 180 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 24 with mse=0.0
better split found on 0 at basf with mse=510.3555555555556
better split found on 0 at burroughs with mse=231.95555555555558
better split found on 2 at 4000 with mse=231.95555555555558
better split found on 3 at 5000 with mse=127.80000000000001
better split found on 4 at 65 with mse=127.80000000000001
better split found on 0 at basf with mse=124.35714285714286
better split found on 0 at cdc with mse=115.21428571428571
better split found on 0 at gould with mse=112.21428571428572
better split found on 0 at nas with mse=112.21428571428572
better split found on 0 at ncr with mse=92.92857142857143
better split found on 0 at wang with mse=88.21428571428571
better split found on 1 at 50 with mse=73.16666666666667
better split found on 1 at 60 with mse=61.23333333333334
better split found on 1 at 75 with mse=13.9375
better split found on 0 at basf with mse=5.166666666666666
better split found on 0 at ncr with mse=3.5
better split found on 1 at 38 with mse=3.5
better split found on 2 at 2620 with mse=3.5
better split found on 5 at 12 with mse=3.5
better split found on 0 at basf with mse=0.16666666666666666
better split found on 4 at 64 with mse=0.16666666666666666
better split found on 6 at 8 with mse=0.16666666666666666
better split found on 0 at cdc with mse=0.0
better split found on 0 at gould with mse=0.0
better split found on 1 at 50 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 3 at 8000 with mse=0.0
better split found on 4 at 30 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 24 with mse=0.0
better split found on 0 at honeywell with mse=10.5
better split found on 0 at wang with mse=2.1666666666666665
better split found on 1 at 140 with mse=2.1666666666666665
better split found on 2 at 512 with mse=2.1666666666666665
better split found on 5 at 0 with mse=2.1666666666666665
better split found on 6 at 0 with mse=2.1666666666666665
better split found on 0 at honeywell with mse=1.5
better split found on 0 at nas with mse=0.16666666666666666
better split found on 1 at 92 with mse=0.16666666666666666
better split found on 6 at 6 with mse=0.16666666666666666
better split found on 0 at honeywell with mse=0.0
better split found on 0 at sperry with mse=0.0
better split found on 1 at 116 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 28 with mse=0.0
better split found on 0 at burroughs with mse=0.0
better split found on 0 at cdc with mse=0.0
better split found on 1 at 25 with mse=0.0
better split found on 2 at 1310 with mse=0.0
better split found on 3 at 2620 with mse=0.0
better split found on 4 at 131 with mse=0.0
better split found on 5 at 8 with mse=0.0
better split found on 6 at 24 with mse=0.0
better split found on 0 at amdahl with mse=1820.1247771836008
better split found on 0 at bti with mse=1771.397504456328
better split found on 0 at cambex with mse=1710.8349146110054
better split found on 0 at ncr with mse=1307.0622549019608
better split found on 1 at 38 with mse=1244.1820728291316
better split found on 1 at 48 with mse=1163.5801431683783
better split found on 3 at 20970 with mse=1130.4375
better split found on 4 at 24 with mse=910.1522491349483
better split found on 4 at 65 with mse=876.7501581277672
better split found on 0 at amdahl with mse=661.7892473118279
better split found on 0 at bti with mse=651.8451612903226
better split found on 0 at cambex with mse=622.0
better split found on 0 at cdc with mse=602.0823136818689
better split found on 1 at 38 with mse=598.7505973715653
better split found on 1 at 48 with mse=515.3657568238214
better split found on 2 at 2000 with mse=340.47970430107523
better split found on 4 at 16 with mse=329.8456024262476
better split found on 4 at 24 with mse=171.08213608023854
better split found on 0 at bti with mse=103.51470588235294
better split found on 0 at ibm with mse=92.79971988795518
better split found on 1 at 26 with mse=47.849264705882355
better split found on 2 at 4000 with mse=47.849264705882355
better split found on 5 at 6 with mse=47.849264705882355
better split found on 0 at bti with mse=39.025
better split found on 0 at magnuson with mse=35.993589743589745
better split found on 1 at 75 with mse=25.186363636363637
better split found on 2 at 1000 with mse=23.463541666666664
better split found on 0 at bti with mse=12.166666666666666
better split found on 0 at honeywell with mse=10.666666666666666
better split found on 1 at 250 with mse=10.666666666666666
better split found on 4 at 1 with mse=0.125
better split found on 0 at dg with mse=0.0
better split found on 0 at honeywell with mse=0.0
better split found on 1 at 140 with mse=0.0
better split found on 4 at 8 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 3 with mse=0.0
better split found on 0 at cambex with mse=11.851851851851853
better split found on 0 at ibm with mse=12.412698412698411
better split found on 0 at magnuson with mse=11.62962962962963
better split found on 1 at 75 with mse=10.61111111111111
better split found on 4 at 16 with mse=10.57777777777778
better split found on 5 at 3 with mse=9.481481481481481
better split found on 0 at ibm with mse=5.866666666666668
better split found on 0 at nas with mse=4.533333333333333
better split found on 0 at ibm with mse=2.2
better split found on 0 at ipl with mse=1.5999999999999999
better split found on 1 at 50 with mse=0.9333333333333333
better split found on 0 at ipl with mse=0.0
better split found on 0 at magnuson with mse=0.0
better split found on 4 at 12 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 6 with mse=0.0
better split found on 0 at ibm with mse=0.0
better split found on 0 at ncr with mse=0.0
better split found on 1 at 56 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 6 at 6 with mse=0.0
better split found on 0 at ibm with mse=0.0
better split found on 0 at magnuson with mse=0.0
better split found on 1 at 50 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 4 at 1 with mse=0.0
better split found on 6 at 12 with mse=0.0
better split found on 0 at amdahl with mse=231.78021978021982
better split found on 0 at basf with mse=229.63736263736268
better split found on 0 at cdc with mse=212.78571428571428
better split found on 1 at 48 with mse=196.51785714285717
better split found on 2 at 2000 with mse=195.42857142857142
better split found on 2 at 4000 with mse=126.65714285714289
better split found on 5 at 6 with mse=122.77380952380952
better split found on 0 at basf with mse=133.10714285714286
better split found on 0 at gould with mse=131.6785714285714
better split found on 0 at nas with mse=130.98333333333332
better split found on 0 at ncr with mse=38.464285714285715
better split found on 2 at 4000 with mse=38.464285714285715
better split found on 0 at basf with mse=40.6904761904762
better split found on 0 at siemens with mse=13.261904761904763
better split found on 0 at basf with mse=14.533333333333339
better split found on 1 at 50 with mse=9.222222222222223
better split found on 2 at 2000 with mse=3.7916666666666665
better split found on 0 at gould with mse=0.0
better split found on 0 at nas with mse=0.0
better split found on 1 at 60 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 8 with mse=0.0
better split found on 0 at basf with mse=1.1666666666666667
better split found on 0 at ibm with mse=0.6666666666666667
better split found on 0 at nas with mse=0.625
better split found on 0 at nas with mse=1.0
better split found on 1 at 50 with mse=0.0
better split found on 6 at 8 with mse=0.0
better split found on 0 at basf with mse=0.0
better split found on 0 at ibm with mse=0.0
better split found on 1 at 17 with mse=0.0
better split found on 4 at 32 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 8 with mse=0.0
better split found on 0 at amdahl with mse=102.46666666666667
better split found on 0 at siemens with mse=83.2
better split found on 1 at 59 with mse=62.16666666666666
better split found on 1 at 64 with mse=46.46666666666666
better split found on 6 at 16 with mse=40.83333333333333
better split found on 0 at amdahl with mse=0.0
better split found on 0 at nas with mse=0.0
better split found on 1 at 29 with mse=0.0
better split found on 2 at 4000 with mse=0.0
better split found on 4 at 32 with mse=0.0
better split found on 0 at cdc with mse=1.0
better split found on 4 at 30 with mse=1.0
better split found on 0 at cdc with mse=1.0
better split found on 1 at 56 with mse=0.0
better split found on 0 at nas with mse=0.0
better split found on 0 at siemens with mse=0.0
better split found on 1 at 48 with mse=0.0
better split found on 2 at 4000 with mse=0.0
better split found on 3 at 16000 with mse=0.0
better split found on 4 at 32 with mse=0.0
better split found on 5 at 8 with mse=0.0
better split found on 0 at gould with mse=1380.1666666666665
better split found on 0 at ncr with mse=1380.1666666666665
better split found on 1 at 38 with mse=1380.1666666666665
better split found on 2 at 2000 with mse=1380.1666666666665
better split found on 2 at 4000 with mse=181.5
better split found on 3 at 16000 with mse=181.5
better split found on 4 at 128 with mse=181.5
better split found on 6 at 8 with mse=181.5
better split found on 0 at gould with mse=0.0
better split found on 0 at ncr with mse=0.0
better split found on 1 at 38 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 5 at 1 with mse=0.0
better split found on 6 at 32 with mse=0.0
better split found on 0 at amdahl with mse=61280.37074829932
better split found on 1 at 23 with mse=47499.088935574226
better split found on 2 at 16000 with mse=31129.664285714287
better split found on 3 at 32000 with mse=13778.203703703704
better split found on 0 at amdahl with mse=9114.582905982907
better split found on 0 at honeywell with mse=8069.235294117647
better split found on 0 at nas with mse=7827.8670634920645
better split found on 2 at 8000 with mse=4645.384259259259
better split found on 4 at 128 with mse=4558.084967320261
better split found on 0 at amdahl with mse=4826.100980392157
better split found on 0 at honeywell with mse=3869.761029411765
better split found on 1 at 50 with mse=3869.761029411765
better split found on 2 at 8000 with mse=2476.5715686274516
better split found on 4 at 48 with mse=1876.380570409982
better split found on 0 at amdahl with mse=204.7777777777778
better split found on 0 at honeywell with mse=178.13333333333333
better split found on 1 at 50 with mse=178.13333333333333
better split found on 5 at 1 with mse=178.13333333333333
better split found on 6 at 52 with mse=178.13333333333333
better split found on 0 at amdahl with mse=4.9
better split found on 0 at ibm with mse=0.0
better split found on 0 at sperry with mse=0.0
better split found on 1 at 26 with mse=0.0
better split found on 2 at 2000 with mse=0.0
better split found on 4 at 0 with mse=0.0
better split found on 5 at 8 with mse=0.0
better split found on 6 at 24 with mse=0.0
better split found on 0 at amdahl with mse=2237.232323232324
better split found on 1 at 23 with mse=2237.232323232324
better split found on 2 at 8000 with mse=1508.3757575757572
better split found on 5 at 12 with mse=826.6136363636363
better split found on 0 at ibm with mse=10.166666666666668
better split found on 2 at 8000 with mse=10.166666666666668
better split found on 0 at nas with mse=2.6666666666666665
better split found on 0 at siemens with mse=2.6666666666666665
better split found on 1 at 26 with mse=2.6666666666666665
better split found on 5 at 8 with mse=2.6666666666666665
better split found on 6 at 16 with mse=2.6666666666666665
better split found on 0 at nas with mse=4.0
better split found on 1 at 35 with mse=0.0
better split found on 0 at amdahl with mse=603.1428571428571
better split found on 0 at ibm with mse=575.6428571428571
better split found on 0 at nas with mse=196.47619047619045
better split found on 0 at amdahl with mse=140.33333333333331
better split found on 0 at sperry with mse=81.875
better split found on 1 at 26 with mse=81.875
better split found on 2 at 4000 with mse=81.875
better split found on 5 at 24 with mse=81.875
better split found on 6 at 32 with mse=81.875
better split found on 0 at amdahl with mse=55.125
better split found on 0 at ibm with mse=0.16666666666666669
better split found on 6 at 24 with mse=0.16666666666666669
better split found on 0 at amdahl with mse=0.0
better split found on 0 at siemens with mse=0.0
better split found on 1 at 23 with mse=0.0
better split found on 2 at 8000 with mse=0.0
better split found on 4 at 64 with mse=0.0
better split found on 5 at 16 with mse=0.0
better split found on 0 at sperry with mse=90.25
better split found on 1 at 50 with mse=90.25
better split found on 2 at 2000 with mse=0.0
better split found on 0 at amdahl with mse=39853.5
better split found on 0 at sperry with mse=39853.5
better split found on 1 at 23 with mse=39853.5
better split found on 2 at 8000 with mse=39853.5
better split found on 2 at 16000 with mse=4816.666666666666
better split found on 4 at 96 with mse=4816.666666666666
better split found on 5 at 16 with mse=4816.666666666666
better split found on 0 at amdahl with mse=0.0
better split found on 0 at sperry with mse=0.0
better split found on 1 at 23 with mse=0.0
better split found on 2 at 8000 with mse=0.0
better split found on 4 at 64 with mse=0.0
better split found on 5 at 12 with mse=0.0
better split found on 6 at 32 with mse=0.0
pred: 124.00 actual: 199.00
pred: 21.00 actual: 23.00
pred: 39.00 actual: 35.00
pred: 102.00 actual: 102.00
pred: 44.00 actual: 41.00
pred: 34.00 actual: 34.00
pred: 34.00 actual: 34.00
pred: 54.00 actual: 47.00
pred: 21.00 actual: 23.00
pred: 181.00 actual: 181.00
pred: 21.00 actual: 21.00
pred: 30.00 actual: 28.00
pred: 82.00 actual: 101.00
pred: 142.00 actual: 128.00
pred: 53.00 actual: 53.00
pred: 132.00 actual: 126.00
pred: 26.00 actual: 35.00
pred: 21.00 actual: 21.00
pred: 56.00 actual: 53.00
pred: 132.00 actual: 183.00
pred: 24.00 actual: 24.00
try cutoff value: 2
better split found on 0 at amdahl with mse=19128.393090353355
better split found on 1 at 23 with mse=18479.824231153045
